v0,seed,T_evac,J,J_over_v0,N_exited,N_injured,N_stuck,cleared,wall_s
0.2,9,400.0,0.26,1.3,104,0,96,0,4.02
0.2,2,400.0,0.27,1.35,108,0,92,0,4.04
0.2,11,400.0,0.27,1.35,108,0,92,0,4.03
0.2,4,400.0,0.2725,1.3625,109,0,91,0,4.04
0.2,13,400.0,0.27,1.35,108,0,92,0,4.06
0.2,10,400.0,0.255,1.275,102,0,98,0,4.06
0.2,6,400.0,0.27,1.35,108,0,92,0,4.07
0.2,5,400.0,0.27,1.35,108,0,92,0,4.09
0.2,14,400.0,0.265,1.325,106,0,94,0,4.08
0.2,7,400.0,0.2625,1.3125,105,0,95,0,4.09
0.2,8,400.0,0.2675,1.3375,107,0,93,0,4.1
0.2,0,400.0,0.2675,1.3375,107,0,93,0,4.12
0.2,15,400.0,0.26,1.3,104,0,96,0,4.12
0.2,1,400.0,0.2575,1.2874999999999999,103,0,97,0,4.18
0.2,3,400.0,0.255,1.275,102,0,98,0,4.18
0.2,12,400.0,0.2625,1.3125,105,0,95,0,4.21
0.4,2,400.0,0.46,1.15,184,0,16,0,2.98
0.4,4,400.0,0.4725,1.18125,189,0,11,0,3.02
0.4,7,400.0,0.4675,1.16875,187,0,13,0,3.0
0.4,6,400.0,0.4675,1.16875,187,0,13,0,3.01
0.4,0,400.0,0.465,1.1625,186,0,14,0,3.09
0.4,10,400.0,0.4575,1.14375,183,0,17,0,3.01
0.4,1,400.0,0.4525,1.1312499999999999,181,0,19,0,3.13
0.4,9,400.0,0.4675,1.16875,187,0,13,0,3.03
0.4,11,400.0,0.4675,1.16875,187,0,13,0,2.99
0.4,8,400.0,0.4675,1.16875,187,0,13,0,3.12
0.4,3,400.0,0.47,1.1749999999999998,188,0,12,0,3.17
0.4,5,400.0,0.455,1.1375,182,0,18,0,3.41
0.2,17,400.0,0.2675,1.3375,107,0,93,0,4.11
0.2,19,400.0,0.2625,1.3125,105,0,95,0,4.12
0.2,16,400.0,0.2575,1.2874999999999999,103,0,97,0,4.19
0.2,18,400.0,0.255,1.275,102,0,98,0,4.27
0.4,14,400.0,0.47,1.1749999999999998,188,0,12,0,3.04
0.4,17,400.0,0.46,1.15,184,0,16,0,2.99
0.4,13,400.0,0.47,1.1749999999999998,188,0,12,0,3.1
0.4,12,400.0,0.4675,1.16875,187,0,13,0,3.15
0.6,0,326.488,0.6125799416823896,1.0209665694706493,200,0,0,1,3.01
0.4,19,400.0,0.4675,1.16875,187,0,13,0,3.03
0.4,15,400.0,0.475,1.1874999999999998,190,0,10,0,3.12
0.4,18,400.0,0.4675,1.16875,187,0,13,0,3.12
0.6,1,322.7939393939394,0.6133944161769399,1.0223240269615665,198,0,2,0,3.07
0.4,16,400.0,0.45,1.125,180,0,20,0,3.2
0.6,2,306.50707070707074,0.6459883602138135,1.0766472670230225,198,0,2,0,3.1
0.6,3,344.159,0.5811267466490779,0.9685445777484633,200,0,0,1,3.06
0.6,4,319.192,0.6265821198526279,1.0443035330877133,200,0,0,1,2.95
