angle,lam,n_seeds,door_rho_steady_mean,door_rho_steady_ci95,door_rho_peak_mean,door_rho_peak_ci95,corner_rho_mean,corner_rho_ci95,door_contact_p95_mean,door_contact_p95_ci95,crush_frac_mean,crush_frac_ci95,casualties_mean,casualties_ci95,door_outflow_mean,door_outflow_ci95,inflow_rate_mean,inflow_rate_ci95,mean_n_mean,mean_n_ci95
0,1.0,10,0.31,0.0151,3.6428,0.0031,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8865,0.0015,1.0,0.0,23.0,0.0
0,2.0,10,0.5617,0.0278,3.6472,0.0034,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771,0.002,1.9995,0.001,45.92,0.0261
0,3.0,10,0.8206,0.0228,3.6549,0.0029,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.657,0.0016,3.0,0.0,68.88,0.0261
0,4.0,10,1.1372,0.0309,3.668,0.0089,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5385,0.0021,3.998,0.0016,91.78,0.0392
0,6.0,10,1.452,0.0148,3.7027,0.0072,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.308,0.0022,5.9965,0.0015,137.6,0.0292
0,8.0,10,1.7515,0.0137,3.8269,0.0703,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.078,0.003,7.9945,0.0018,183.16,0.0433
0,10.0,10,1.8667,0.0085,3.8814,0.0678,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7715,0.0334,8.8025,0.0341,205.99,1.006
0,12.0,10,1.879,0.0146,3.8464,0.0612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.796,0.0281,8.83,0.0351,206.84,0.9328
45,1.0,10,1.149,0.0164,3.9751,0.0011,1.4075,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,1.0,0.0,22.3,0.0
45,2.0,10,1.3263,0.0282,3.9976,0.0169,1.7004,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,1.7735,0.0015,1.9995,0.001,45.17,0.0299
45,3.0,10,1.4681,0.0337,4.041,0.0131,1.9554,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,2.6555,0.0018,3.0,0.0,68.46,0.0433
45,4.0,10,1.5655,0.0342,4.0454,0.009,2.0905,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,3.538,0.0026,3.997,0.0016,92.14,0.0433
45,6.0,10,1.5992,0.0269,4.0624,0.0131,2.2534,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,5.2925,0.0033,5.9965,0.0015,140.52,0.0489
45,8.0,10,1.709,0.0123,4.1651,0.0597,2.5031,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,6.822,0.025,7.7365,0.0297,183.56,0.5845
45,10.0,10,1.687,0.0124,4.1734,0.0672,2.4898,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,6.815,0.0164,7.7335,0.0169,183.23,0.5756
45,12.0,10,1.6996,0.0147,4.1123,0.0137,2.5082,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,6.8325,0.0244,7.748,0.0303,183.52,0.769
60,1.0,10,1.213,0.0346,4.297,0.0,1.6218,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,1.0,0.0,21.98,0.0261
60,2.0,10,1.3884,0.0291,4.3391,0.0239,1.8923,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,1.7755,0.0018,1.9995,0.001,44.84,0.0433
60,3.0,10,1.4554,0.0372,4.3581,0.0247,2.0702,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,2.6585,0.0015,2.998,0.0016,68.31,0.0457
60,4.0,10,1.4642,0.0105,4.3989,0.0056,2.1789,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,3.5365,0.0033,3.997,0.0016,92.21,0.0543
60,6.0,10,1.5296,0.0139,4.4558,0.0326,2.422,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,5.288,0.0026,5.9955,0.001,141.66,0.1212
60,8.0,10,1.6668,0.0149,4.5277,0.0415,2.6222,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,6.3755,0.0184,7.232,0.0157,170.82,0.6993
60,10.0,10,1.6864,0.0218,4.5302,0.0448,2.646,0.013,0.0,0.0,0.0,0.0,0.0,0.0,6.399,0.0143,7.2475,0.0111,171.49,0.5654
60,12.0,10,1.673,0.0271,4.5186,0.0446,2.6235,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,6.3855,0.0126,7.2355,0.0177,170.83,0.6951
90,1.0,10,1.0678,0.0183,3.6419,0.0002,1.7717,0.0214,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.0,1.0,0.0,21.07,0.0299
90,2.0,10,1.226,0.0204,3.6574,0.0065,2.0643,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,1.779,0.002,1.998,0.0016,43.74,0.0523
90,3.0,10,1.2725,0.0358,3.6661,0.0093,2.2487,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,2.6595,0.0034,2.9975,0.0016,67.87,0.0719
90,4.0,10,1.2456,0.0204,3.6888,0.0095,2.3855,0.0151,0.0,0.0,0.0,0.0,0.0,0.0,3.533,0.003,3.996,0.0013,92.59,0.0616
90,6.0,10,1.6068,0.0167,3.7236,0.0056,2.765,0.0212,0.0,0.0,0.0,0.0,0.0,0.0,5.272,0.0051,5.9845,0.0047,142.8,0.1777
90,8.0,10,1.643,0.0153,3.7247,0.0057,2.7892,0.0274,0.0,0.0,0.0,0.0,0.0,0.0,5.505,0.0163,6.223,0.0171,144.34,0.7317
90,10.0,10,1.63,0.0227,3.7283,0.0054,2.7844,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,5.5075,0.0334,6.2335,0.0325,143.89,0.8105
90,12.0,10,1.6342,0.0188,3.7301,0.0045,2.7801,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,5.508,0.0262,6.232,0.0202,143.88,0.6265
120,1.0,10,1.1742,0.0141,3.8007,0.2451,1.8451,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.904,0.0013,0.999,0.0013,19.15,0.0327
120,2.0,10,1.2384,0.025,4.3756,0.0249,2.2234,0.2408,0.0,0.0,0.0,0.0,0.1,0.196,1.794,0.0046,1.9975,0.0016,40.67,0.902
120,3.0,10,1.2686,0.0283,4.3863,0.0182,2.3355,0.0268,0.0,0.0,0.0,0.0,0.01,0.0196,2.6785,0.0036,2.9975,0.0016,63.67,0.0829
120,4.0,10,1.3372,0.0219,4.4229,0.013,2.6421,0.1784,0.0,0.0,0.0,0.0,0.17,0.2264,3.544,0.013,3.996,0.0013,89.88,1.9691
120,6.0,10,1.4853,0.0216,4.4563,0.0165,2.8859,0.0489,0.0,0.0,0.0,0.0,0.158,0.1662,4.8285,0.0753,5.471,0.1226,124.49,6.5354
120,8.0,10,1.504,0.0195,4.4479,0.0183,3.1424,0.2255,0.0,0.0,0.0,0.0,0.418,0.3123,4.9965,0.1874,5.6595,0.2273,128.5,8.8638
120,10.0,10,1.4904,0.0318,4.482,0.0435,3.0008,0.2049,0.0,0.0,0.0,0.0,0.23,0.2581,4.972,0.2046,5.598,0.2483,124.63,9.7272
120,12.0,10,1.4878,0.0194,4.4434,0.0196,3.0043,0.1972,0.0,0.0,0.0,0.0,0.225,0.2577,4.907,0.0289,5.5185,0.0371,121.21,3.5495
135,1.0,10,1.0566,0.0224,3.9751,0.0013,1.8664,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.0015,0.9995,0.001,17.1,0.0292
135,2.0,10,1.0644,0.0198,3.9785,0.0013,2.1073,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,1.816,0.0024,1.9975,0.0016,36.69,0.1558
135,3.0,10,1.1713,0.0514,4.0233,0.0152,2.7746,0.2369,0.0,0.0,0.0,0.0,0.543,0.2848,2.672,0.0141,2.998,0.0016,63.18,2.4527
135,4.0,10,1.3435,0.0519,4.0446,0.006,2.956,0.2191,0.0,0.0,0.0,0.0,0.589,0.2979,3.551,0.0141,3.9955,0.001,87.97,2.9219
135,6.0,10,1.4338,0.0366,4.0636,0.0183,3.0461,0.1583,0.0,0.0,0.0,0.0,0.38,0.3062,4.7095,0.1611,5.2905,0.2093,115.62,10.3082
135,8.0,10,1.426,0.036,4.0589,0.0128,3.0348,0.1311,0.0,0.0,0.0,0.0,0.423,0.278,4.771,0.1035,5.3865,0.149,114.66,7.0284
135,10.0,10,1.4599,0.042,4.0588,0.0065,3.1683,0.2677,0.0,0.0,0.0,0.0,0.468,0.3114,4.9155,0.1842,5.513,0.2285,117.77,9.4955
135,12.0,10,1.4544,0.0578,4.0986,0.0469,3.1307,0.1603,0.0,0.0,0.0,0.0,0.585,0.2753,4.9605,0.2208,5.588,0.2722,123.17,11.5667
