x,y,rho,contact,casualty,pressure
2.62,0.12,0.0192,0.0000,0.00000,0.00827
2.88,0.12,0.0404,0.0000,0.00000,0.01781
3.12,0.12,0.0677,0.0000,0.00000,0.03024
3.38,0.12,0.0880,0.0000,0.00000,0.03798
3.62,0.12,0.0924,0.0000,0.00000,0.03712
3.88,0.12,0.0851,0.0000,0.00000,0.03421
4.12,0.12,0.0794,0.0000,0.00000,0.03485
4.38,0.12,0.0830,0.0000,0.00000,0.03855
4.62,0.12,0.0907,0.0000,0.00000,0.04205
4.88,0.12,0.0936,0.0000,0.00000,0.04266
5.12,0.12,0.0885,0.0000,0.00000,0.03970
5.38,0.12,0.0866,0.0000,0.00000,0.03849
5.62,0.12,0.0886,0.0000,0.00000,0.04070
5.88,0.12,0.0898,0.0000,0.00000,0.04303
6.12,0.12,0.0909,0.0000,0.00000,0.04158
6.38,0.12,0.0893,0.0000,0.00000,0.03773
6.62,0.12,0.0858,0.0000,0.00000,0.03811
6.88,0.12,0.0779,0.0000,0.00000,0.03936
7.12,0.12,0.0589,0.0000,0.00000,0.03368
7.38,0.12,0.0335,0.0000,0.00000,0.02068
2.62,0.38,0.0465,0.0000,0.00000,0.01767
2.88,0.38,0.1053,0.0000,0.00000,0.04234
3.12,0.38,0.1852,0.0000,0.00000,0.07616
3.38,0.38,0.2442,0.0000,0.00000,0.09671
3.62,0.38,0.2584,0.0000,0.00000,0.09665
3.88,0.38,0.2418,0.0000,0.00000,0.09107
4.12,0.38,0.2290,0.0000,0.00000,0.09192
4.38,0.38,0.2323,0.0000,0.00000,0.09588
4.62,0.38,0.2395,0.0000,0.00000,0.09690
4.88,0.38,0.2409,0.0000,0.00000,0.09546
5.12,0.38,0.2336,0.0000,0.00000,0.09258
5.38,0.38,0.2331,0.0000,0.00000,0.09308
5.62,0.38,0.2379,0.0000,0.00000,0.09724
5.88,0.38,0.2436,0.0000,0.00000,0.10284
6.12,0.38,0.2504,0.0000,0.00000,0.10290
6.38,0.38,0.2520,0.0000,0.00000,0.10056
6.62,0.38,0.2493,0.0000,0.00000,0.10919
6.88,0.38,0.2302,0.0000,0.00000,0.11455
7.12,0.38,0.1711,0.0000,0.00000,0.09251
7.38,0.38,0.0943,0.0000,0.00000,0.05328
2.62,0.62,0.0644,0.0000,0.00000,0.02248
2.88,0.62,0.1613,0.0000,0.00000,0.06113
3.12,0.62,0.3072,0.0000,0.00000,0.11842
3.38,0.62,0.4255,0.0000,0.00000,0.15502
3.62,0.62,0.4652,0.0000,0.00000,0.15820
3.88,0.62,0.4436,0.0000,0.00000,0.14935
4.12,0.62,0.4214,0.0000,0.00000,0.14685
4.38,0.62,0.4188,0.0000,0.00000,0.14659
4.62,0.62,0.4215,0.0000,0.00000,0.14256
4.88,0.62,0.4195,0.0000,0.00000,0.13934
5.12,0.62,0.4134,0.0000,0.00000,0.14109
5.38,0.62,0.4187,0.0000,0.00000,0.14635
5.62,0.62,0.4332,0.0000,0.00000,0.15312
5.88,0.62,0.4463,0.0000,0.00000,0.16124
6.12,0.62,0.4532,0.0000,0.00000,0.16294
6.38,0.62,0.4631,0.0000,0.00000,0.16897
6.62,0.62,0.4802,0.0000,0.00000,0.19785
6.88,0.62,0.4561,0.0000,0.00000,0.21371
7.12,0.62,0.3295,0.0000,0.00000,0.16395
7.38,0.62,0.1733,0.0000,0.00000,0.08775
2.62,0.88,0.0455,0.0000,0.00000,0.01559
2.88,0.88,0.1345,0.0000,0.00000,0.04973
3.12,0.88,0.2962,0.0000,0.00000,0.10892
