angle,lam,n_seeds,door_rho_steady_mean,door_rho_steady_ci95,door_rho_peak_mean,door_rho_peak_ci95,corner_rho_mean,corner_rho_ci95,door_contact_p95_mean,door_contact_p95_ci95,crush_frac_mean,crush_frac_ci95,casualties_mean,casualties_ci95,door_outflow_mean,door_outflow_ci95,inflow_rate_mean,inflow_rate_ci95,mean_n_mean,mean_n_ci95
0,4.0,20,6.2229,0.3164,7.9407,0.2923,,0.0,372.88,23.2472,0.0548,0.003,13.8865,2.2289,1.3659,0.2315,2.6083,0.2189,454.845,28.382
0,8.0,20,7.1323,0.3071,8.4025,0.334,,0.0,286.72,22.3,0.0379,0.007,29.152,2.8079,1.5624,0.2411,2.9584,0.2345,544.165,3.3934
45,4.0,20,5.3796,0.2842,7.0319,0.3262,5.4835,0.2091,267.365,9.4995,0.0,0.0,8.368,0.5673,1.1656,0.1506,2.3846,0.1534,461.16,5.577
45,8.0,20,7.371,0.3823,8.2885,0.265,6.1016,0.2084,221.34,7.6087,0.0,0.0,20.177,2.1371,1.5751,0.1929,2.954,0.1899,542.54,2.6173
60,4.0,20,6.3051,0.4062,8.695,0.3922,5.5688,0.2325,313.455,23.4957,0.0342,0.0076,6.1235,0.9814,1.3546,0.2298,2.5548,0.2223,439.665,20.9684
60,8.0,20,7.6706,0.3368,9.1623,0.3572,6.3264,0.1848,224.035,7.2909,0.0154,0.0051,16.537,1.685,1.9288,0.1907,3.2892,0.1874,539.405,3.144
90,4.0,20,5.8917,0.1689,8.0924,0.2295,5.1154,0.2091,414.465,21.1232,0.0596,0.0018,3.622,0.4094,1.2652,0.1452,2.4517,0.1391,448.055,10.132
90,8.0,20,6.9127,0.2537,8.9298,0.2862,5.6246,0.2347,302.075,19.5943,0.0423,0.0045,9.147,0.9282,1.8702,0.1343,3.205,0.1332,528.48,1.7263
120,4.0,20,5.6344,0.3107,8.3275,0.3405,4.5501,0.1321,227.82,18.9151,0.0294,0.005,2.9305,0.1806,1.9524,0.2046,3.095,0.1903,404.05,24.6426
120,8.0,20,6.6848,0.3978,9.1137,0.1296,5.1185,0.0757,230.615,8.8302,0.0209,0.0047,3.7965,0.4469,2.4098,0.2415,3.6629,0.2397,494.205,8.9719
135,4.0,20,4.1208,0.1027,6.2274,0.1523,4.4787,0.1317,169.155,3.8939,0.0,0.0,3.0,0.0,1.8001,0.1097,2.9132,0.1065,423.15,6.594
135,8.0,20,4.4593,0.1116,6.6772,0.1547,4.8708,0.0977,168.97,5.1463,0.0,0.0,3.078,0.1626,2.7365,0.198,3.8891,0.1969,458.62,4.3328
