x,y,rho,contact,casualty,pressure
2.62,0.12,0.2799,0.0033,0.00000,0.08752
2.88,0.12,0.5760,0.0051,0.00000,0.15066
3.12,0.12,0.7916,0.0075,0.00000,0.18180
3.38,0.12,0.7817,0.0102,0.00000,0.18139
3.62,0.12,0.8584,0.0085,0.00000,0.20144
3.88,0.12,0.9704,0.0051,0.00000,0.21982
4.12,0.12,0.9604,0.0065,0.00000,0.20388
4.38,0.12,1.0175,0.0100,0.00000,0.18159
4.62,0.12,1.1926,0.0086,0.00000,0.17154
4.88,0.12,1.2811,0.0037,0.00000,0.16603
5.12,0.12,1.2373,0.0008,0.00000,0.15915
5.38,0.12,1.2010,0.0002,0.00000,0.14868
5.62,0.12,1.1908,0.0001,0.00000,0.13463
5.88,0.12,1.1595,0.0002,0.00000,0.11998
6.12,0.12,1.2449,0.0013,0.00000,0.11979
6.38,0.12,1.3460,0.0063,0.00000,0.12724
6.62,0.12,1.2294,0.0307,0.00000,0.12096
6.88,0.12,1.1728,0.2655,0.00000,0.12945
7.12,0.12,1.0566,1.2288,0.00000,0.13347
7.38,0.12,0.6746,2.7209,0.00000,0.09292
2.62,0.38,0.5868,0.0057,0.00000,0.17288
2.88,0.38,1.1795,0.0103,0.00000,0.30903
3.12,0.38,1.5614,0.0187,0.00000,0.38057
3.38,0.38,1.4344,0.0293,0.00000,0.36016
3.62,0.38,1.4722,0.0281,0.00000,0.37174
3.88,0.38,1.6251,0.0183,0.00000,0.39568
4.12,0.38,1.5511,0.0162,0.00000,0.35962
4.38,0.38,1.5362,0.0199,0.00000,0.30841
4.62,0.38,1.6514,0.0172,0.00000,0.27628
4.88,0.38,1.6617,0.0086,0.00000,0.25644
5.12,0.38,1.6076,0.0029,0.00000,0.23870
5.38,0.38,1.6334,0.0010,0.00000,0.21955
5.62,0.38,1.6744,0.0006,0.00000,0.20255
5.88,0.38,1.6152,0.0007,0.00000,0.18402
6.12,0.38,1.6480,0.0028,0.00000,0.18204
6.38,0.38,1.7225,0.0127,0.00000,0.18945
6.62,0.38,1.5628,0.0608,0.00000,0.17719
6.88,0.38,1.6411,0.5212,0.00000,0.19809
7.12,0.38,1.6905,2.4094,0.00000,0.21710
7.38,0.38,1.1632,5.3331,0.00000,0.15579
2.62,0.62,0.8279,0.0060,0.00000,0.21401
2.88,0.62,1.5808,0.0143,0.00000,0.39778
3.12,0.62,1.9842,0.0332,0.00000,0.50221
3.38,0.62,1.7457,0.0547,0.00000,0.45966
3.62,0.62,1.7535,0.0534,0.00000,0.44641
3.88,0.62,1.9237,0.0368,0.00000,0.46605
4.12,0.62,1.8470,0.0294,0.00000,0.42682
4.38,0.62,1.8157,0.0292,0.00000,0.36706
4.62,0.62,1.8663,0.0253,0.00000,0.32068
4.88,0.62,1.8284,0.0163,0.00000,0.29090
5.12,0.62,1.7829,0.0083,0.00000,0.26984
5.38,0.62,1.8154,0.0036,0.00000,0.24564
5.62,0.62,1.8885,0.0019,0.00000,0.22669
5.88,0.62,1.8773,0.0019,0.00000,0.20914
6.12,0.62,1.8669,0.0041,0.00000,0.20165
6.38,0.62,1.8696,0.0148,0.00000,0.20395
6.62,0.62,1.6274,0.0745,0.00000,0.18802
6.88,0.62,1.7956,0.6610,0.00000,0.21219
7.12,0.62,2.0765,3.0611,0.00000,0.23902
7.38,0.62,1.5243,6.7746,0.00000,0.17416
2.62,0.88,0.9829,0.0040,0.00000,0.18095
2.88,0.88,1.6558,0.0139,0.00000,0.33646
3.12,0.88,1.8540,0.0381,0.00000,0.42723
3.38,0.88,1.6769,0.0613,0.00000,0.40029
3.62,0.88,1.8300,0.0556,0.00000,0.39258
3.88,0.88,1.9318,0.0390,0.00000,0.40080
4.12,0.88,1.8630,0.0325,0.00000,0.37370
4.38,0.88,1.8994,0.0295,0.00000,0.33201
4.62,0.88,1.9270,0.0259,0.00000,0.29010
4.88,0.88,1.9062,0.0200,0.00000,0.26291
5.12,0.88,1.9117,0.0123,0.00000,0.24829
5.38,0.88,1.8985,0.0057,0.00000,0.22570
5.62,0.88,1.9462,0.0030,0.00000,0.20746
5.88,0.88,2.0243,0.0031,0.00000,0.19603
6.12,0.88,1.9906,0.0039,0.00000,0.18355
6.38,0.88,1.9879,0.0093,0.00000,0.18164
6.62,0.88,1.7451,0.0589,0.00000,0.16830
6.88,0.88,1.8580,0.5810,0.00000,0.18190
7.12,0.88,2.2168,2.7098,0.00000,0.20038
7.38,0.88,1.6838,5.9996,0.00000,0.14564
2.62,1.12,1.3022,0.0022,0.00000,0.14204
2.88,1.12,1.9295,0.0097,0.00000,0.24562
3.12,1.12,1.8607,0.0278,0.00000,0.29844
3.38,1.12,1.7407,0.0424,0.00000,0.30226
3.62,1.12,2.0641,0.0348,0.00000,0.32280
3.88,1.12,2.0619,0.0226,0.00000,0.32258
4.12,1.12,2.0012,0.0188,0.00000,0.30278
4.38,1.12,2.0889,0.0168,0.00000,0.27920
4.62,1.12,2.0733,0.0148,0.00000,0.24967
4.88,1.12,2.0574,0.0122,0.00000,0.22877
5.12,1.12,2.1054,0.0080,0.00000,0.21671
5.38,1.12,2.0971,0.0045,0.00000,0.19739
5.62,1.12,2.1245,0.0035,0.00000,0.18240
5.88,1.12,2.2179,0.0035,0.00000,0.17775
6.12,1.12,2.0845,0.0027,0.00000,0.16447
6.38,1.12,2.1239,0.0045,0.00000,0.16250
6.62,1.12,2.0491,0.0500,0.00000,0.15532
6.88,1.12,2.1056,0.5627,0.00000,0.15654
7.12,1.12,2.4022,2.6486,0.00000,0.16233
7.38,1.12,1.8236,5.8701,0.00000,0.11633
2.62,1.38,1.5811,0.0028,0.00000,0.11755
2.88,1.38,2.1945,0.0101,0.00000,0.18326
3.12,1.38,1.9273,0.0208,0.00000,0.20405
3.38,1.38,1.8129,0.0225,0.00000,0.22206
3.62,1.38,2.2222,0.0147,0.00000,0.25799
3.88,1.38,2.2039,0.0087,0.00000,0.25746
4.12,1.38,2.1865,0.0070,0.00000,0.24513
4.38,1.38,2.2217,0.0061,0.00000,0.23154
4.62,1.38,2.1753,0.0052,0.00000,0.21409
4.88,1.38,2.1891,0.0045,0.00000,0.20128
5.12,1.38,2.2217,0.0036,0.00000,0.18767
5.38,1.38,2.2620,0.0048,0.00000,0.17158
