x,y,rho,contact,casualty,pressure
2.62,0.12,0.2981,0.0040,0.00000,0.19806
2.88,0.12,0.5801,0.0147,0.00000,0.37673
3.12,0.12,0.8226,0.0307,0.00000,0.51344
3.38,0.12,0.9329,0.0374,0.00000,0.53752
3.62,0.12,1.0651,0.0323,0.00000,0.55485
3.88,0.12,1.1743,0.0207,0.00000,0.57388
4.12,0.12,1.1859,0.0114,0.00000,0.53632
4.38,0.12,1.2344,0.0088,0.00000,0.47974
4.62,0.12,1.3166,0.0085,0.00000,0.44629
4.88,0.12,1.2952,0.0060,0.00000,0.42313
5.12,0.12,1.2510,0.0041,0.00000,0.39370
5.38,0.12,1.2897,0.0051,0.00000,0.37685
5.62,0.12,1.4198,0.0092,0.00000,0.38302
5.88,0.12,1.4811,0.0204,0.00000,0.38002
6.12,0.12,1.4203,0.0424,0.00000,0.37853
6.38,0.12,1.3727,0.0740,0.00000,0.38435
6.62,0.12,1.3282,0.1362,0.00000,0.37670
6.88,0.12,1.4110,0.7604,0.00000,0.40436
7.12,0.12,1.3294,3.3699,0.00000,0.39731
7.38,0.12,0.8618,7.4063,0.00000,0.26899
2.62,0.38,0.5861,0.0059,0.00000,0.35693
2.88,0.38,1.1263,0.0223,0.00000,0.66919
3.12,0.38,1.5024,0.0489,0.00000,0.87624
3.38,0.38,1.4897,0.0642,0.00000,0.84117
3.62,0.38,1.5343,0.0601,0.00000,0.79130
3.88,0.38,1.6430,0.0429,0.00000,0.78429
4.12,0.38,1.5885,0.0256,0.00000,0.70580
4.38,0.38,1.5864,0.0151,0.00000,0.60749
4.62,0.38,1.7071,0.0107,0.00000,0.56901
4.88,0.38,1.7185,0.0084,0.00000,0.54174
5.12,0.38,1.6573,0.0067,0.00000,0.48875
5.38,0.38,1.6390,0.0077,0.00000,0.45459
5.62,0.38,1.6927,0.0131,0.00000,0.45459
5.88,0.38,1.7093,0.0267,0.00000,0.44664
6.12,0.38,1.7275,0.0508,0.00000,0.44678
6.38,0.38,1.7397,0.1072,0.00000,0.45460
6.62,0.38,1.6044,0.2616,0.00000,0.43357
6.88,0.38,1.7192,1.5576,0.00000,0.48005
7.12,0.38,1.7326,6.9448,0.00000,0.50559
7.38,0.38,1.1713,15.3059,0.00000,0.35643
2.62,0.62,0.7933,0.0045,0.00000,0.39255
2.88,0.62,1.4958,0.0189,0.00000,0.73527
3.12,0.62,1.8977,0.0488,0.00000,0.94397
3.38,0.62,1.7032,0.0742,0.00000,0.85197
3.62,0.62,1.6501,0.0724,0.00000,0.75192
3.88,0.62,1.8204,0.0530,0.00000,0.74870
4.12,0.62,1.7961,0.0331,0.00000,0.68362
4.38,0.62,1.7359,0.0185,0.00000,0.57809
4.62,0.62,1.8145,0.0120,0.00000,0.53063
4.88,0.62,1.8604,0.0105,0.00000,0.50134
5.12,0.62,1.8383,0.0085,0.00000,0.44899
5.38,0.62,1.7943,0.0080,0.00000,0.41220
5.62,0.62,1.8110,0.0109,0.00000,0.40364
5.88,0.62,1.8285,0.0223,0.00000,0.39186
6.12,0.62,1.8871,0.0477,0.00000,0.39152
6.38,0.62,1.9235,0.1198,0.00000,0.40134
6.62,0.62,1.6537,0.3496,0.00000,0.36809
6.88,0.62,1.7815,2.2990,0.00000,0.40189
7.12,0.62,2.0040,10.3773,0.00000,0.44335
7.38,0.62,1.4484,22.9222,0.00000,0.32232
2.62,0.88,0.8555,0.0019,0.00000,0.28557
2.88,0.88,1.5198,0.0107,0.00000,0.53488
3.12,0.88,1.8047,0.0364,0.00000,0.68043
3.38,0.88,1.5871,0.0632,0.00000,0.60323
3.62,0.88,1.6011,0.0581,0.00000,0.53214
3.88,0.88,1.7989,0.0367,0.00000,0.54081
4.12,0.88,1.8390,0.0220,0.00000,0.51430
4.38,0.88,1.8328,0.0146,0.00000,0.45289
4.62,0.88,1.8541,0.0118,0.00000,0.40672
4.88,0.88,1.8531,0.0113,0.00000,0.37064
5.12,0.88,1.8658,0.0104,0.00000,0.33506
5.38,0.88,1.8527,0.0098,0.00000,0.31023
5.62,0.88,1.9026,0.0103,0.00000,0.30326
5.88,0.88,1.9595,0.0204,0.00000,0.29699
6.12,0.88,1.9675,0.0398,0.00000,0.29208
6.38,0.88,2.0161,0.0797,0.00000,0.29711
6.62,0.88,1.7219,0.3024,0.00000,0.25932
6.88,0.88,1.8276,2.5304,0.00000,0.26742
7.12,0.88,2.1973,11.6935,0.00000,0.30481
7.38,0.88,1.6650,25.8914,0.00000,0.22811
2.62,1.12,0.9968,0.0007,0.00000,0.18915
2.88,1.12,1.6357,0.0048,0.00000,0.34695
3.12,1.12,1.8079,0.0184,0.00000,0.43629
3.38,1.12,1.6871,0.0337,0.00000,0.40488
3.62,1.12,1.8587,0.0309,0.00000,0.38763
3.88,1.12,1.9559,0.0188,0.00000,0.39511
4.12,1.12,1.9492,0.0115,0.00000,0.38280
4.38,1.12,2.0400,0.0105,0.00000,0.36232
4.62,1.12,2.0643,0.0110,0.00000,0.33017
4.88,1.12,2.0093,0.0112,0.00000,0.29390
5.12,1.12,2.0359,0.0115,0.00000,0.26959
5.38,1.12,2.0494,0.0114,0.00000,0.25068
5.62,1.12,2.0947,0.0118,0.00000,0.24530
5.88,1.12,2.1522,0.0236,0.00000,0.24411
6.12,1.12,2.0632,0.0374,0.00000,0.22959
6.38,1.12,2.1464,0.0422,0.00000,0.22766
6.62,1.12,1.9807,0.1929,0.00000,0.20082
6.88,1.12,2.0481,1.9612,0.00000,0.19838
7.12,1.12,2.4068,9.2007,0.00000,0.22507
7.38,1.12,1.8376,20.3990,0.00000,0.17049
2.62,1.38,1.2819,0.0005,0.00000,0.14055
2.88,1.38,1.9295,0.0022,0.00000,0.24279
3.12,1.38,1.9268,0.0067,0.00000,0.29135
3.38,1.38,1.8394,0.0119,0.00000,0.28466
3.62,1.38,2.1373,0.0147,0.00000,0.29806
3.88,1.38,2.1447,0.0141,0.00000,0.30321
4.12,1.38,2.0840,0.0098,0.00000,0.29400
4.38,1.38,2.1498,0.0075,0.00000,0.28704
4.62,1.38,2.1452,0.0078,0.00000,0.26945
4.88,1.38,2.1022,0.0085,0.00000,0.24723
5.12,1.38,2.1596,0.0088,0.00000,0.23391
5.38,1.38,2.2089,0.0083,0.00000,0.21758
5.62,1.38,2.2429,0.0080,0.00000,0.20580
5.88,1.38,2.3173,0.0150,0.00000,0.20368
6.12,1.38,2.1179,0.0228,0.00000,0.18254
6.38,1.38,2.1788,0.0220,0.00000,0.17608
6.62,1.38,2.2000,0.0981,0.00000,0.16563
6.88,1.38,2.2583,1.0302,0.00000,0.16117
7.12,1.38,2.5387,4.8443,0.00000,0.17607
7.38,1.38,1.9252,10.7423,0.00000,0.13360
2.62,1.62,1.5650,0.0008,0.00000,0.12334
2.88,1.62,2.1775,0.0027,0.00000,0.19056
3.12,1.62,1.9487,0.0051,0.00000,0.20154
3.38,1.62,1.8694,0.0063,0.00000,0.20120
3.62,1.62,2.2501,0.0097,0.00000,0.23073
3.88,1.62,2.2402,0.0133,0.00000,0.23467
4.12,1.62,2.2257,0.0119,0.00000,0.22929
4.38,1.62,2.2248,0.0099,0.00000,0.22667
4.62,1.62,2.1910,0.0071,0.00000,0.21778
4.88,1.62,2.1767,0.0053,0.00000,0.20660
5.12,1.62,2.2196,0.0053,0.00000,0.20097
5.38,1.62,2.3008,0.0055,0.00000,0.19122
5.62,1.62,2.3193,0.0049,0.00000,0.17368
5.88,1.62,2.4183,0.0061,0.00000,0.16859
6.12,1.62,2.1707,0.0084,0.00000,0.14822
6.38,1.62,2.2047,0.0093,0.00000,0.13985
6.62,1.62,2.3972,0.0501,0.00000,0.13910
6.88,1.62,2.4625,0.5296,0.00000,0.13595
7.12,1.62,2.6634,2.4868,0.00000,0.14487
7.38,1.62,2.0029,5.5116,0.00000,0.11054
2.62,1.88,1.7836,0.0011,0.00000,0.11370
2.88,1.88,2.3660,0.0036,0.00000,0.15998
3.12,1.88,1.9801,0.0059,0.00000,0.14786
3.38,1.88,1.9353,0.0053,0.00000,0.14758
3.62,1.88,2.3565,0.0062,0.00000,0.17945
3.88,1.88,2.3190,0.0102,0.00000,0.18039
4.12,1.88,2.3577,0.0171,0.00000,0.18093
4.38,1.88,2.3099,0.0218,0.00000,0.18443
4.62,1.88,2.2966,0.0149,0.00000,0.18134
4.88,1.88,2.3241,0.0083,0.00000,0.17285
5.12,1.88,2.3455,0.0063,0.00000,0.16668
5.38,1.88,2.4685,0.0058,0.00000,0.16397
5.62,1.88,2.3939,0.0056,0.00000,0.14750
5.88,1.88,2.4309,0.0042,0.00000,0.13991
6.12,1.88,2.2185,0.0033,0.00000,0.12248
6.38,1.88,2.2772,0.0034,0.00000,0.11662
6.62,1.88,2.5888,0.0223,0.00000,0.12275
6.88,1.88,2.6362,0.2410,0.00000,0.12001
7.12,1.88,2.7546,1.1286,0.00000,0.12396
7.38,1.88,2.0531,2.4973,0.00000,0.09342
2.62,2.12,1.9309,0.0007,0.00000,0.09685
2.88,2.12,2.5066,0.0022,0.00000,0.13020
3.12,2.12,2.0259,0.0039,0.00000,0.11164
3.38,2.12,1.9613,0.0043,0.00000,0.11052
3.62,2.12,2.3713,0.0053,0.00000,0.13649
3.88,2.12,2.3806,0.0096,0.00000,0.13758
4.12,2.12,2.4929,0.0228,0.00000,0.14341
4.38,2.12,2.3560,0.0328,0.00000,0.14766
4.62,2.12,2.3403,0.0248,0.00000,0.14872
4.88,2.12,2.4351,0.0182,0.00000,0.14460
5.12,2.12,2.4602,0.0154,0.00000,0.13643
5.38,2.12,2.6209,0.0121,0.00000,0.13688
5.62,2.12,2.4634,0.0110,0.00000,0.12351
5.88,2.12,2.4476,0.0072,0.00000,0.11427
6.12,2.12,2.3047,0.0035,0.00000,0.10150
6.38,2.12,2.3468,0.0020,0.00000,0.10142
6.62,2.12,2.6903,0.0056,0.00000,0.11347
6.88,2.12,2.7391,0.0530,0.00000,0.10917
7.12,2.12,2.8206,0.2434,0.00000,0.10742
7.38,2.12,2.0931,0.5351,0.00000,0.07911
2.62,2.38,2.0138,0.0005,0.00000,0.08172
2.88,2.38,2.6107,0.0019,0.00000,0.10779
3.12,2.38,2.1453,0.0036,0.00000,0.08977
3.38,2.38,2.0708,0.0052,0.00000,0.08703
3.62,2.38,2.3798,0.0072,0.00000,0.10499
3.88,2.38,2.4449,0.0098,0.00000,0.10758
4.12,2.38,2.6609,0.0197,0.00000,0.11530
4.38,2.38,2.4756,0.0281,0.00000,0.11531
4.62,2.38,2.4262,0.0240,0.00000,0.11844
4.88,2.38,2.5151,0.0225,0.00000,0.12053
5.12,2.38,2.5122,0.0219,0.00000,0.11214
5.38,2.38,2.6873,0.0182,0.00000,0.11198
5.62,2.38,2.5370,0.0171,0.00000,0.10240
5.88,2.38,2.5242,0.0119,0.00000,0.09511
6.12,2.38,2.4427,0.0061,0.00000,0.08746
6.38,2.38,2.4637,0.0028,0.00000,0.08997
6.62,2.38,2.8213,0.0018,0.00000,0.10348
6.88,2.38,2.8676,0.0061,0.00000,0.09912
7.12,2.38,2.9203,0.0227,0.00000,0.09527
7.38,2.38,2.1595,0.0470,0.00000,0.06945
2.62,2.62,2.0910,0.0018,0.00000,0.06838
2.88,2.62,2.7331,0.0060,0.00000,0.08994
3.12,2.62,2.3432,0.0100,0.00000,0.07548
3.38,2.62,2.2816,0.0090,0.00000,0.07237
3.62,2.62,2.4545,0.0081,0.00000,0.08380
3.88,2.62,2.5150,0.0085,0.00000,0.08731
4.12,2.62,2.7604,0.0110,0.00000,0.09406
4.38,2.62,2.5844,0.0138,0.00000,0.09112
4.62,2.62,2.5028,0.0130,0.00000,0.09401
4.88,2.62,2.5174,0.0132,0.00000,0.09724
5.12,2.62,2.5160,0.0136,0.00000,0.08984
5.38,2.62,2.7103,0.0133,0.00000,0.08813
5.62,2.62,2.6042,0.0148,0.00000,0.08139
5.88,2.62,2.6017,0.0114,0.00000,0.07832
6.12,2.62,2.5698,0.0063,0.00000,0.07515
6.38,2.62,2.5941,0.0033,0.00000,0.07709
6.62,2.62,2.9545,0.0035,0.00000,0.08808
6.88,2.62,2.9738,0.0097,0.00000,0.08444
7.12,2.62,2.9879,0.0303,0.00000,0.08085
7.38,2.62,2.2009,0.0618,0.00000,0.05882
2.62,2.88,2.1353,0.0029,0.00000,0.05745
2.88,2.88,2.8095,0.0098,0.00000,0.07564
3.12,2.88,2.4778,0.0156,0.00000,0.06465
3.38,2.88,2.4007,0.0111,0.00000,0.06209
3.62,2.88,2.4590,0.0069,0.00000,0.06990
3.88,2.88,2.5232,0.0068,0.00000,0.07410
4.12,2.88,2.7394,0.0059,0.00000,0.07897
4.38,2.88,2.5869,0.0048,0.00000,0.07470
4.62,2.88,2.5247,0.0043,0.00000,0.07554
4.88,2.88,2.5268,0.0043,0.00000,0.07695
5.12,2.88,2.5748,0.0050,0.00000,0.07324
5.38,2.88,2.7165,0.0075,0.00000,0.07231
5.62,2.88,2.6153,0.0102,0.00000,0.06638
5.88,2.88,2.6439,0.0076,0.00000,0.06548
6.12,2.88,2.6794,0.0039,0.00000,0.06507
6.38,2.88,2.6838,0.0058,0.00000,0.06522
6.62,2.88,2.9935,0.0248,0.00000,0.07288
6.88,2.88,3.0104,0.0995,0.00000,0.07154
7.12,2.88,3.0300,0.3437,0.00000,0.07025
7.38,2.88,2.2321,0.7239,0.00000,0.05143
2.62,3.12,2.0994,0.0018,0.00000,0.05101
2.88,3.12,2.7956,0.0060,0.00000,0.06743
3.12,3.12,2.5887,0.0094,0.00000,0.05917
3.38,3.12,2.5498,0.0063,0.00000,0.05691
3.62,3.12,2.4583,0.0034,0.00000,0.06032
3.88,3.12,2.4803,0.0039,0.00000,0.06302
4.12,3.12,2.6983,0.0037,0.00000,0.06750
4.38,3.12,2.6343,0.0026,0.00000,0.06358
4.62,3.12,2.5897,0.0019,0.00000,0.06130
4.88,3.12,2.5842,0.0020,0.00000,0.06045
5.12,3.12,2.6905,0.0029,0.00000,0.06135
5.38,3.12,2.7810,0.0044,0.00000,0.06327
5.62,3.12,2.6987,0.0057,0.00000,0.05846
5.88,3.12,2.6981,0.0038,0.00000,0.05723
6.12,3.12,2.7462,0.0029,0.00000,0.05757
6.38,3.12,2.7614,0.0197,0.00000,0.05692
6.62,3.12,3.0475,0.1087,0.00000,0.06246
6.88,3.12,3.0381,0.4512,0.00000,0.06247
7.12,3.12,3.0347,1.5753,0.00000,0.06235
7.38,3.12,2.2301,3.3263,0.00000,0.04590
2.62,3.38,2.1267,0.0004,0.00000,0.04644
2.88,3.38,2.8636,0.0014,0.00000,0.06163
3.12,3.38,2.7660,0.0022,0.00000,0.05524
3.38,3.38,2.7690,0.0016,0.00000,0.05217
3.62,3.38,2.5690,0.0012,0.00000,0.05084
3.88,3.38,2.5583,0.0028,0.00000,0.05217
4.12,3.38,2.7358,0.0045,0.00000,0.05736
4.38,3.38,2.7257,0.0040,0.00000,0.05508
4.62,3.38,2.6610,0.0027,0.00000,0.05148
4.88,3.38,2.6276,0.0017,0.00000,0.04905
5.12,3.38,2.7830,0.0017,0.00000,0.05089
5.38,3.38,2.8661,0.0022,0.00000,0.05337
5.62,3.38,2.8509,0.0028,0.00000,0.05086
5.88,3.38,2.8211,0.0021,0.00000,0.04920
6.12,3.38,2.8754,0.0036,0.00000,0.04946
6.38,3.38,2.8891,0.0327,0.00000,0.04961
6.62,3.38,3.1428,0.1875,0.00000,0.05440
6.88,3.38,3.1012,0.8429,0.00000,0.05436
7.12,3.38,3.0743,3.0645,0.00000,0.05405
7.38,3.38,2.2546,6.5197,0.00000,0.03984
2.62,3.62,2.2045,0.0000,0.00000,0.04288
2.88,3.62,2.9822,0.0001,0.00000,0.05670
3.12,3.62,2.9269,0.0003,0.00000,0.05011
3.38,3.62,2.9346,0.0003,0.00000,0.04495
3.62,3.62,2.7102,0.0008,0.00000,0.04131
3.88,3.62,2.7128,0.0033,0.00000,0.04213
4.12,3.62,2.7789,0.0061,0.00000,0.04603
4.38,3.62,2.7511,0.0057,0.00000,0.04572
4.62,3.62,2.6748,0.0042,0.00000,0.04403
4.88,3.62,2.6565,0.0023,0.00000,0.04220
5.12,3.62,2.8627,0.0010,0.00000,0.04339
5.38,3.62,2.9206,0.0010,0.00000,0.04426
5.62,3.62,2.9682,0.0013,0.00000,0.04332
5.88,3.62,2.9584,0.0014,0.00000,0.04233
6.12,3.62,3.0501,0.0029,0.00000,0.04308
6.38,3.62,3.0235,0.0218,0.00000,0.04354
6.62,3.62,3.2129,0.1523,0.00000,0.04725
6.88,3.62,3.1656,0.9712,0.00000,0.04679
7.12,3.62,3.1520,4.0305,0.00000,0.04645
7.38,3.62,2.3155,8.7695,0.00000,0.03420
2.62,3.88,2.2473,0.0000,0.00000,0.03680
2.88,3.88,3.0508,0.0000,0.00000,0.04890
3.12,3.88,3.0319,0.0000,0.00000,0.04416
3.38,3.88,3.0511,0.0001,0.00000,0.03983
3.62,3.88,2.8130,0.0005,0.00000,0.03529
3.88,3.88,2.8083,0.0020,0.00000,0.03478
4.12,3.88,2.7726,0.0038,0.00000,0.03634
4.38,3.88,2.7413,0.0048,0.00000,0.03699
4.62,3.88,2.6590,0.0050,0.00000,0.03687
4.88,3.88,2.6471,0.0029,0.00000,0.03633
5.12,3.88,2.8775,0.0009,0.00000,0.03759
5.38,3.88,2.9355,0.0005,0.00000,0.03738
5.62,3.88,3.0623,0.0006,0.00000,0.03752
5.88,3.88,3.0571,0.0007,0.00000,0.03733
6.12,3.88,3.1596,0.0014,0.00000,0.03853
6.38,3.88,3.1184,0.0099,0.00000,0.03864
6.62,3.88,3.2825,0.1230,0.00000,0.04106
6.88,3.88,3.2158,1.1970,0.00000,0.03992
7.12,3.88,3.1896,5.4742,0.00000,0.03923
7.38,3.88,2.3419,12.0854,0.00000,0.02874
2.62,4.12,2.2706,0.0000,0.00000,0.03188
2.88,4.12,3.0881,0.0000,0.00000,0.04271
3.12,4.12,3.0898,0.0000,0.00000,0.03998
3.38,4.12,3.1204,0.0000,0.00000,0.03730
3.62,4.12,2.8940,0.0002,0.00000,0.03275
3.88,4.12,2.8815,0.0006,0.00000,0.03124
4.12,4.12,2.7352,0.0012,0.00000,0.03060
4.38,4.12,2.6874,0.0023,0.00000,0.03076
4.62,4.12,2.6326,0.0031,0.00000,0.03128
4.88,4.12,2.6597,0.0020,0.00000,0.03235
5.12,4.12,2.8960,0.0007,0.00000,0.03427
5.38,4.12,2.9278,0.0005,0.00000,0.03307
5.62,4.12,3.0914,0.0005,0.00000,0.03325
5.88,4.12,3.0978,0.0006,0.00000,0.03337
6.12,4.12,3.2277,0.0031,0.00000,0.03498
6.38,4.12,3.1847,0.0320,0.00000,0.03493
6.62,4.12,3.3413,0.2560,0.00000,0.03669
6.88,4.12,3.2728,1.8626,0.00000,0.03557
7.12,4.12,3.2437,8.0156,0.00000,0.03486
7.38,4.12,2.3810,17.5425,0.00000,0.02546
2.62,4.38,2.2328,0.0001,0.00000,0.02895
2.88,4.38,3.0486,0.0001,0.00000,0.03870
3.12,4.38,3.0949,0.0001,0.00000,0.03596
3.38,4.38,3.1655,0.0002,0.00000,0.03349
3.62,4.38,2.9492,0.0005,0.00000,0.03047
3.88,4.38,2.9211,0.0007,0.00000,0.02974
4.12,4.38,2.7228,0.0007,0.00000,0.02760
4.38,4.38,2.6993,0.0015,0.00000,0.02702
4.62,4.38,2.6527,0.0026,0.00000,0.02799
4.88,4.38,2.6958,0.0023,0.00000,0.03069
5.12,4.38,2.9355,0.0016,0.00000,0.03370
5.38,4.38,2.9571,0.0011,0.00000,0.03167
5.62,4.38,3.1408,0.0010,0.00000,0.03107
5.88,4.38,3.1221,0.0026,0.00000,0.03074
6.12,4.38,3.2482,0.0181,0.00000,0.03239
6.38,4.38,3.2205,0.1367,0.00000,0.03256
6.62,4.38,3.3941,0.7200,0.00000,0.03455
6.88,4.38,3.3277,3.1428,0.00000,0.03409
7.12,4.38,3.2945,11.3116,0.00000,0.03363
7.38,4.38,2.4174,24.0257,0.00000,0.02450
2.62,4.62,2.2534,0.0004,0.00000,0.02490
2.88,4.62,3.0727,0.0005,0.00000,0.03331
3.12,4.62,3.1045,0.0006,0.00000,0.03115
3.38,4.62,3.1686,0.0007,0.00000,0.02957
3.62,4.62,2.9991,0.0010,0.00000,0.02842
3.88,4.62,3.0082,0.0012,0.00000,0.02902
4.12,4.62,2.7905,0.0010,0.00000,0.02623
4.38,4.62,2.7843,0.0021,0.00000,0.02512
4.62,4.62,2.7089,0.0044,0.00000,0.02590
