x,y,rho,contact,casualty,pressure
2.62,0.12,0.2304,0.0000,0.00000,0.11684
2.88,0.12,0.4251,0.0000,0.00000,0.20940
3.12,0.12,0.5484,0.0000,0.00000,0.25398
3.38,0.12,0.5181,0.0000,0.00000,0.22509
3.62,0.12,0.4954,0.0000,0.00000,0.22162
3.88,0.12,0.5541,0.0000,0.00000,0.25317
4.12,0.12,0.5779,0.0000,0.00000,0.25340
4.38,0.12,0.5387,0.0000,0.00000,0.23291
4.62,0.12,0.5274,0.0000,0.00000,0.23594
4.88,0.12,0.5622,0.0000,0.00000,0.25629
5.12,0.12,0.5807,0.0000,0.00000,0.26287
5.38,0.12,0.5750,0.0000,0.00000,0.25899
5.62,0.12,0.5725,0.0002,0.00000,0.26103
5.88,0.12,0.5683,0.0004,0.00000,0.26454
6.12,0.12,0.5742,0.0003,0.00000,0.27707
6.38,0.12,0.5842,0.0007,0.00000,0.29135
6.62,0.12,0.5736,0.0136,0.00000,0.30153
6.88,0.12,0.5851,0.1540,0.00000,0.34756
7.12,0.12,0.5233,0.7155,0.00000,0.34547
7.38,0.12,0.3297,1.5766,0.00000,0.22880
2.62,0.38,0.4518,0.0000,0.00000,0.21487
2.88,0.38,0.8689,0.0000,0.00000,0.39898
3.12,0.38,1.1771,0.0000,0.00000,0.50026
3.38,0.38,1.1287,0.0000,0.00000,0.43747
3.62,0.38,1.0208,0.0000,0.00000,0.40284
3.88,0.38,1.1104,0.0000,0.00000,0.45561
4.12,0.38,1.1940,0.0000,0.00000,0.47204
4.38,0.38,1.1312,0.0000,0.00000,0.43956
4.62,0.38,1.0863,0.0000,0.00000,0.43717
4.88,0.38,1.1423,0.0000,0.00000,0.47017
5.12,0.38,1.1757,0.0000,0.00000,0.48162
5.38,0.38,1.1572,0.0002,0.00000,0.47605
5.62,0.38,1.1523,0.0009,0.00000,0.48667
5.88,0.38,1.1493,0.0015,0.00000,0.49897
6.12,0.38,1.1627,0.0012,0.00000,0.52655
6.38,0.38,1.1664,0.0016,0.00000,0.55287
6.62,0.38,1.1445,0.0189,0.00000,0.57450
6.88,0.38,1.2114,0.2101,0.00000,0.67576
7.12,0.38,1.1050,0.9752,0.00000,0.67214
7.38,0.38,0.6963,2.1489,0.00000,0.44180
2.62,0.62,0.5243,0.0000,0.00000,0.22728
2.88,0.62,1.0881,0.0000,0.00000,0.45312
3.12,0.62,1.5998,0.0000,0.00000,0.61063
3.38,0.62,1.5924,0.0000,0.00000,0.54194
3.62,0.62,1.3623,0.0000,0.00000,0.45814
3.88,0.62,1.4120,0.0000,0.00000,0.50166
