angle,door_width,lam,n_seeds,inflow_rate_mean,inflow_rate_ci95,door_outflow_mean,door_outflow_ci95,door_rho_steady_mean,door_rho_steady_ci95,door_rho_peak_mean,door_rho_peak_ci95,corner_rho_mean,corner_rho_ci95,door_contact_p95_mean,door_contact_p95_ci95,door_contact_max_mean,door_contact_max_ci95,crush_frac_mean,crush_frac_ci95,casualties_mean,casualties_ci95,mean_n_mean,mean_n_ci95
0,0.8,12.0,15,1.9945,0.2103,0.5681,0.1984,6.8324,0.4004,8.2433,0.6453,,0.0,258.5133,22.4893,484.0933,47.8385,0.0239,0.0076,31.4187,4.89,563.96,4.9695
0,1.2,12.0,15,3.2321,0.2933,1.8303,0.3001,7.0623,0.4149,8.9747,0.4009,,0.0,287.2133,30.7166,516.5467,15.9768,0.0443,0.0052,34.382,4.2615,557.26,4.2557
0,1.6,12.0,15,5.0725,0.223,3.7222,0.2285,7.515,0.2673,8.7197,0.2626,,0.0,271.0,36.4546,530.56,32.7018,0.0425,0.0055,30.818,2.8453,537.28,2.5271
0,2.0,12.0,15,7.7329,0.3773,6.4483,0.3892,7.9513,0.4204,9.1774,0.3616,,0.0,254.56,30.0276,470.2867,23.1298,0.0382,0.0062,21.132,2.8931,509.0733,5.3698
0,2.5,12.0,15,9.8321,0.2395,8.6241,0.2416,8.0421,0.6373,9.3936,0.419,,0.0,339.46,20.9201,529.8533,20.7,0.051,0.0037,9.4013,1.7727,474.3067,13.3058
0,3.0,12.0,15,11.1085,0.2259,10.3343,0.1874,4.3931,0.6186,6.5149,0.4808,,0.0,149.78,89.8774,346.2267,79.2881,0.0383,0.0148,1.214,0.4068,298.5867,15.6079
0,3.5,12.0,15,11.3042,0.185,10.5619,0.1731,5.3461,0.0705,6.7278,0.204,,0.0,311.84,63.0334,413.12,22.2596,0.0729,0.0065,1.8047,0.1458,292.76,6.1927
0,4.0,12.0,15,8.9774,0.1557,8.4521,0.1379,2.0971,0.4651,4.1519,0.3391,,0.0,22.8933,44.8709,24.24,47.5104,0.0062,0.0121,0.126,0.247,209.4,6.7259
45,0.8,12.0,15,1.8969,0.169,0.4914,0.1709,7.3763,0.3634,8.4433,0.2676,5.1325,0.2714,258.3133,26.4518,388.0267,35.1967,0.0087,0.0074,25.7727,3.8397,555.68,3.3479
45,1.2,12.0,15,3.3341,0.2013,1.9584,0.208,7.3104,0.3362,8.449,0.2561,4.6616,0.1378,205.1333,13.3399,342.02,11.1946,0.0,0.0,22.904,2.5378,546.7333,4.0391
45,1.6,12.0,15,5.027,0.1973,3.7057,0.2037,7.3921,0.4557,8.6142,0.4531,4.3241,0.0741,196.28,8.0867,344.0333,10.1251,0.0002,0.0003,15.558,1.7886,524.2333,2.9641
45,2.0,12.0,15,7.2259,0.3537,5.9875,0.3625,6.9324,0.471,8.687,0.3564,3.9897,0.0489,213.06,9.0263,399.0733,41.9813,0.0066,0.0054,8.396,1.7267,490.24,7.8466
45,2.5,12.0,15,9.5423,0.0799,8.7673,0.0959,3.5228,0.1558,6.2117,0.2067,2.8643,0.1085,30.1333,20.6031,113.8,37.1928,0.0,0.0,1.8147,0.1699,295.58,19.1196
45,3.0,12.0,15,8.7981,0.1506,8.2281,0.1312,2.7818,0.1089,5.008,0.1443,2.6302,0.0331,0.0,0.0,59.9533,25.4565,0.0,0.0,0.404,0.3284,226.5267,7.347
45,3.5,12.0,15,8.9865,0.0924,8.3949,0.0917,4.8997,0.1694,7.345,0.2661,2.7025,0.0163,340.0733,49.7355,395.44,17.5607,0.0813,0.0094,1.7647,0.1553,233.86,2.5267
45,4.0,12.0,15,7.659,0.0143,7.2083,0.0138,1.6553,0.0072,4.1605,0.0458,2.4688,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.1667,0.3688
60,0.8,12.0,15,2.0246,0.2086,0.6341,0.2048,7.104,0.528,8.3053,0.6189,5.2591,0.3,253.4267,22.4651,464.36,51.2446,0.0157,0.0056,19.0407,2.7633,550.1067,3.6062
60,1.2,12.0,15,3.2313,0.2777,1.8562,0.2834,7.3627,0.2408,9.1104,0.3119,4.827,0.0754,238.8267,12.4428,477.5667,27.651,0.0216,0.0051,17.3227,1.7661,543.24,3.5892
60,1.6,12.0,15,5.2211,0.35,3.9289,0.3637,7.3546,0.5942,8.9577,0.5962,4.5179,0.0809,232.52,7.9138,450.04,37.5297,0.0166,0.0061,10.8387,1.769,513.4333,5.5354
60,2.0,12.0,15,7.5441,0.3229,6.3988,0.3823,6.5747,0.4728,9.2693,0.5915,3.8703,0.2776,265.48,56.1156,515.7533,30.7881,0.043,0.0065,4.2987,1.5089,426.6267,39.9718
60,2.5,12.0,15,8.3849,0.1082,7.7775,0.1037,5.3663,0.3688,6.9157,0.2356,2.7983,0.0089,185.64,86.3553,389.08,46.6921,0.0538,0.0117,1.9147,0.1476,240.88,2.6771
60,3.0,12.0,15,7.9266,0.2078,7.4148,0.1889,3.0436,0.5496,5.4258,0.3079,2.6936,0.0391,26.14,51.2344,118.74,80.7675,0.0113,0.0101,0.3787,0.2558,202.6933,7.6156
60,3.5,12.0,15,7.9571,0.1391,7.4368,0.1317,4.3515,0.5501,6.5383,0.5237,2.7511,0.0266,224.42,97.3177,322.58,75.4985,0.0617,0.0198,1.5447,0.2935,206.1533,4.7639
60,4.0,12.0,15,7.0292,0.0139,6.6138,0.0148,1.649,0.0146,4.5162,0.0318,2.5937,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.1533,0.3933
90,0.8,12.0,15,1.8799,0.1472,0.5248,0.148,7.0635,0.5307,8.1571,0.4587,5.0601,0.1583,313.4933,26.0957,471.3333,39.2098,0.0289,0.0093,8.2093,1.7512,538.9733,3.2873
90,1.2,12.0,15,3.2624,0.249,1.9325,0.2562,7.1303,0.3411,8.8429,0.3387,4.5204,0.0821,303.16,21.4528,544.48,31.2042,0.0408,0.0057,9.5493,1.3175,527.2133,3.8473
90,1.6,12.0,15,5.1728,0.2054,3.9117,0.2051,6.9123,0.3817,9.0617,0.3084,4.2162,0.0787,327.5133,31.6585,544.7533,25.4861,0.0455,0.0058,5.622,0.8907,492.6,10.3419
90,2.0,12.0,15,6.6534,0.1349,6.1479,0.131,5.5166,0.0523,7.247,0.0757,2.8428,0.0151,298.4133,73.4963,451.9267,25.6789,0.0646,0.007,1.968,0.0429,201.4067,3.9131
90,2.5,12.0,15,6.434,0.1889,5.9969,0.1754,5.0566,0.3423,6.4507,0.0555,2.8401,0.018,327.5467,46.8158,407.9933,16.1885,0.0799,0.009,1.7613,0.2331,174.1,5.7121
90,3.0,12.0,15,6.5053,0.1812,6.0884,0.1663,4.0731,0.5365,5.7093,0.3906,2.8471,0.0343,273.4667,86.945,326.3667,72.8936,0.0581,0.0185,1.092,0.3725,165.14,6.3522
90,3.5,12.0,15,6.8263,0.2851,6.3949,0.2634,4.8963,0.1167,6.0,0.0734,2.9003,0.017,405.56,16.6137,405.56,16.6137,0.0981,0.0123,1.906,0.1376,172.62,8.4944
90,4.0,12.0,15,5.8822,0.0126,5.5362,0.0117,1.643,0.0115,3.7325,0.0036,2.7139,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.6333,0.3295
120,0.8,12.0,15,2.1049,0.1753,0.7883,0.1787,6.5435,0.4042,7.8923,0.4013,4.7721,0.1914,262.8133,12.8801,463.82,35.9453,0.0194,0.0054,2.428,0.4047,521.1,3.1062
120,1.2,12.0,15,3.7007,0.2379,2.4576,0.2492,6.6465,0.3507,8.8561,0.3268,4.3519,0.0783,238.5533,6.6158,526.6333,25.9459,0.0274,0.0004,2.55,0.3656,496.58,5.5185
120,1.6,12.0,15,6.0235,0.115,4.9863,0.1663,5.5485,0.1485,7.5151,0.1342,3.5305,0.221,148.1,26.9975,454.4667,48.3397,0.027,0.0056,1.9933,0.1567,327.92,45.9707
120,2.0,12.0,15,5.9455,0.1852,5.5733,0.1766,5.1848,0.1775,6.9245,0.1664,2.8237,0.0263,342.2533,50.2546,419.6333,17.7549,0.0736,0.0094,1.7687,0.1642,148.2,5.3799
120,2.5,12.0,15,5.2816,0.1967,4.9566,0.1743,2.7765,0.4286,5.3079,0.3024,2.7918,0.0453,100.2067,88.0444,202.0,80.1029,0.0184,0.0139,0.648,0.3302,127.2333,9.0295
120,3.0,12.0,15,5.6891,0.222,5.3473,0.2102,4.0385,0.6272,5.4739,0.1811,2.8703,0.0343,278.26,105.9475,392.6533,32.1686,0.0479,0.0144,0.9853,0.3217,133.5933,6.4446
120,3.5,12.0,15,5.1423,0.1526,4.8466,0.132,1.9573,0.4568,4.8464,0.3536,2.7624,0.0367,22.64,44.3744,60.9733,65.4248,0.0062,0.0093,0.1333,0.1588,115.6533,7.4022
120,4.0,12.0,15,4.9441,0.0111,4.6747,0.0119,1.5156,0.0093,4.4659,0.0125,2.73,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8467,0.5287
135,0.8,12.0,15,2.2521,0.2539,1.0286,0.2613,5.3678,0.4153,7.1877,0.671,4.7565,0.217,194.9933,9.5669,331.5333,52.3021,0.0073,0.0063,1.1113,0.2758,484.3667,5.7123
135,1.2,12.0,15,3.7877,0.299,2.6439,0.3022,4.4427,0.0982,6.7404,0.1689,4.1671,0.0807,166.22,5.893,280.1733,10.787,0.0,0.0,1.9727,0.1941,452.3667,8.3247
135,1.6,12.0,15,6.3093,0.1515,5.5918,0.1282,3.7909,0.1875,6.0431,0.143,3.2446,0.1588,57.04,21.5184,160.3467,34.6839,0.0,0.0,1.9147,0.0932,240.46,40.8879
135,2.0,12.0,15,6.0171,0.2922,5.6801,0.2775,3.7445,0.5892,6.1161,0.5559,2.8435,0.0326,0.0067,0.0131,152.9133,84.0303,0.0122,0.0106,1.896,0.1372,132.1267,7.6067
