x,y,rho,contact,casualty,pressure
2.62,0.12,0.3617,0.0000,0.00000,0.18574
2.88,0.12,0.5835,0.0000,0.00000,0.29901
3.12,0.12,0.6403,0.0003,0.00000,0.32994
3.38,0.12,0.5952,0.0014,0.00000,0.31613
3.62,0.12,0.6448,0.0024,0.00000,0.34638
3.88,0.12,0.6867,0.0017,0.00000,0.35597
4.12,0.12,0.6567,0.0008,0.00000,0.33662
4.38,0.12,0.6539,0.0003,0.00000,0.34797
4.62,0.12,0.6779,0.0001,0.00000,0.36716
4.88,0.12,0.6636,0.0009,0.00000,0.35828
5.12,0.12,0.6420,0.0042,0.00000,0.35156
5.38,0.12,0.6509,0.0073,0.00000,0.36610
5.62,0.12,0.6703,0.0060,0.00000,0.38381
5.88,0.12,0.6825,0.0051,0.00000,0.39583
6.12,0.12,0.6994,0.0097,0.00000,0.41648
6.38,0.12,0.7170,0.0229,0.00000,0.44148
6.62,0.12,0.7014,0.0658,0.00000,0.44890
6.88,0.12,0.7087,0.4602,0.00000,0.49518
7.12,0.12,0.6442,2.0565,0.00000,0.49585
7.38,0.12,0.4157,4.5094,0.00000,0.33692
2.62,0.38,0.6778,0.0000,0.00000,0.32343
2.88,0.38,1.1706,0.0000,0.00000,0.55195
3.12,0.38,1.3789,0.0004,0.00000,0.64311
3.38,0.38,1.2575,0.0020,0.00000,0.59769
3.62,0.38,1.2810,0.0035,0.00000,0.62832
3.88,0.38,1.3878,0.0031,0.00000,0.66836
4.12,0.38,1.3415,0.0022,0.00000,0.63763
4.38,0.38,1.3012,0.0011,0.00000,0.63743
4.62,0.38,1.3535,0.0004,0.00000,0.67233
4.88,0.38,1.3607,0.0014,0.00000,0.67062
5.12,0.38,1.3178,0.0061,0.00000,0.66034
5.38,0.38,1.3200,0.0109,0.00000,0.68578
5.62,0.38,1.3528,0.0108,0.00000,0.72092
5.88,0.38,1.3588,0.0112,0.00000,0.73757
6.12,0.38,1.3721,0.0169,0.00000,0.77079
6.38,0.38,1.3956,0.0365,0.00000,0.81790
6.62,0.38,1.3640,0.1131,0.00000,0.83418
6.88,0.38,1.4231,0.8130,0.00000,0.95115
7.12,0.38,1.3385,3.6285,0.00000,0.98137
7.38,0.38,0.8766,7.9510,0.00000,0.67450
2.62,0.62,0.7559,0.0000,0.00000,0.32289
2.88,0.62,1.4546,0.0000,0.00000,0.61286
3.12,0.62,1.8971,0.0003,0.00000,0.78422
3.38,0.62,1.7206,0.0012,0.00000,0.71173
3.62,0.62,1.6213,0.0024,0.00000,0.70203
3.88,0.62,1.7872,0.0030,0.00000,0.78057
4.12,0.62,1.7714,0.0032,0.00000,0.75967
4.38,0.62,1.6721,0.0018,0.00000,0.72670
4.62,0.62,1.7300,0.0005,0.00000,0.76326
4.88,0.62,1.7852,0.0010,0.00000,0.78294
5.12,0.62,1.7340,0.0046,0.00000,0.77150
5.38,0.62,1.7197,0.0090,0.00000,0.79744
5.62,0.62,1.7603,0.0115,0.00000,0.84373
5.88,0.62,1.7463,0.0144,0.00000,0.85585
6.12,0.62,1.7469,0.0173,0.00000,0.89199
6.38,0.62,1.7752,0.0317,0.00000,0.95509
6.62,0.62,1.7292,0.1058,0.00000,0.97578
6.88,0.62,1.8662,0.7793,0.00000,1.14544
7.12,0.62,1.8226,3.4681,0.00000,1.21387
7.38,0.62,1.2119,7.5910,0.00000,0.84208
2.62,0.88,0.5092,0.0000,0.00000,0.18918
2.88,0.88,1.1422,0.0000,0.00000,0.42382
3.12,0.88,1.6928,0.0001,0.00000,0.61710
3.38,0.88,1.5809,0.0003,0.00000,0.56504
3.62,0.88,1.3868,0.0007,0.00000,0.51884
3.88,0.88,1.5316,0.0014,0.00000,0.59666
4.12,0.88,1.5921,0.0019,0.00000,0.60688
4.38,0.88,1.4929,0.0011,0.00000,0.56416
4.62,0.88,1.5099,0.0003,0.00000,0.58235
4.88,0.88,1.5788,0.0005,0.00000,0.61109
5.12,0.88,1.5471,0.0023,0.00000,0.60302
5.38,0.88,1.5270,0.0047,0.00000,0.62113
5.62,0.88,1.5665,0.0070,0.00000,0.66421
5.88,0.88,1.5431,0.0096,0.00000,0.66947
6.12,0.88,1.5431,0.0104,0.00000,0.69878
6.38,0.88,1.5713,0.0155,0.00000,0.75320
6.62,0.88,1.5035,0.0486,0.00000,0.75535
6.88,0.88,1.6606,0.3515,0.00000,0.88968
7.12,0.88,1.6834,1.5542,0.00000,0.95626
7.38,0.88,1.1370,3.3951,0.00000,0.66612
2.62,1.12,0.2778,0.0000,0.00000,0.08400
2.88,1.12,0.7470,0.0000,0.00000,0.22797
3.12,1.12,1.2628,0.0000,0.00000,0.37712
3.38,1.12,1.2622,0.0000,0.00000,0.36233
3.62,1.12,1.0817,0.0001,0.00000,0.32122
3.88,1.12,1.1746,0.0003,0.00000,0.37470
4.12,1.12,1.2901,0.0004,0.00000,0.40803
4.38,1.12,1.2429,0.0002,0.00000,0.38462
4.62,1.12,1.2221,0.0001,0.00000,0.38531
4.88,1.12,1.2749,0.0002,0.00000,0.40786
5.12,1.12,1.2740,0.0009,0.00000,0.40975
5.38,1.12,1.2599,0.0018,0.00000,0.42485
5.62,1.12,1.2972,0.0024,0.00000,0.46135
5.88,1.12,1.2861,0.0033,0.00000,0.46853
6.12,1.12,1.3031,0.0037,0.00000,0.49309
6.38,1.12,1.3325,0.0048,0.00000,0.52991
6.62,1.12,1.2434,0.0111,0.00000,0.51200
6.88,1.12,1.3573,0.0701,0.00000,0.58253
7.12,1.12,1.3795,0.3036,0.00000,0.61626
7.38,1.12,0.9308,0.6598,0.00000,0.42514
2.62,1.38,0.1856,0.0000,0.00000,0.03862
2.88,1.38,0.5792,0.0000,0.00000,0.12160
3.12,1.38,1.0758,0.0000,0.00000,0.22319
3.38,1.38,1.1501,0.0000,0.00000,0.23437
3.62,1.38,1.0056,0.0000,0.00000,0.21400
3.88,1.38,1.0729,0.0000,0.00000,0.24924
4.12,1.38,1.2148,0.0000,0.00000,0.28753
4.38,1.38,1.2105,0.0000,0.00000,0.28246
4.62,1.38,1.1761,0.0000,0.00000,0.27782
4.88,1.38,1.2204,0.0000,0.00000,0.29441
5.12,1.38,1.2431,0.0002,0.00000,0.30440
5.38,1.38,1.2418,0.0003,0.00000,0.31770
5.62,1.38,1.2807,0.0004,0.00000,0.34657
5.88,1.38,1.2788,0.0006,0.00000,0.35806
6.12,1.38,1.3094,0.0008,0.00000,0.38134
6.38,1.38,1.3448,0.0014,0.00000,0.40892
6.62,1.38,1.2667,0.0023,0.00000,0.39264
6.88,1.38,1.3437,0.0067,0.00000,0.42684
7.12,1.38,1.2778,0.0248,0.00000,0.42225
7.38,1.38,0.8234,0.0520,0.00000,0.27949
2.62,1.62,0.1555,0.0000,0.00000,0.02101
2.88,1.62,0.5341,0.0000,0.00000,0.07337
3.12,1.62,1.0572,0.0000,0.00000,0.14817
3.38,1.62,1.1983,0.0000,0.00000,0.17336
3.62,1.62,1.0733,0.0000,0.00000,0.16445
3.88,1.62,1.1129,0.0000,0.00000,0.18362
4.12,1.62,1.2670,0.0000,0.00000,0.21727
4.38,1.62,1.2965,0.0000,0.00000,0.22478
4.62,1.62,1.2594,0.0000,0.00000,0.22146
4.88,1.62,1.3017,0.0000,0.00000,0.23447
5.12,1.62,1.3425,0.0000,0.00000,0.24692
5.38,1.62,1.3586,0.0000,0.00000,0.25703
5.62,1.62,1.4013,0.0000,0.00000,0.27740
5.88,1.62,1.4006,0.0001,0.00000,0.28948
6.12,1.62,1.4394,0.0003,0.00000,0.31270
6.38,1.62,1.4762,0.0011,0.00000,0.33547
6.62,1.62,1.4257,0.0018,0.00000,0.33036
6.88,1.62,1.4948,0.0014,0.00000,0.35284
7.12,1.62,1.3131,0.0014,0.00000,0.32240
7.38,1.62,0.7913,0.0019,0.00000,0.20092
2.62,1.88,0.1341,0.0000,0.00000,0.01275
2.88,1.88,0.4929,0.0000,0.00000,0.04787
3.12,1.88,1.0408,0.0000,0.00000,0.10485
3.38,1.88,1.2672,0.0000,0.00000,0.13480
3.62,1.88,1.1659,0.0000,0.00000,0.13198
3.88,1.88,1.1630,0.0000,0.00000,0.13984
4.12,1.88,1.3159,0.0000,0.00000,0.16691
4.38,1.88,1.3811,0.0000,0.00000,0.18178
4.62,1.88,1.3505,0.0000,0.00000,0.18096
4.88,1.88,1.3856,0.0000,0.00000,0.19087
5.12,1.88,1.4304,0.0000,0.00000,0.20152
5.38,1.88,1.4507,0.0000,0.00000,0.20861
5.62,1.88,1.4954,0.0000,0.00000,0.22470
5.88,1.88,1.5002,0.0000,0.00000,0.23729
6.12,1.88,1.5470,0.0001,0.00000,0.25900
6.38,1.88,1.5689,0.0006,0.00000,0.27353
6.62,1.88,1.5260,0.0010,0.00000,0.27001
6.88,1.88,1.6105,0.0007,0.00000,0.28703
7.12,1.88,1.3729,0.0002,0.00000,0.25135
7.38,1.88,0.8001,0.0001,0.00000,0.15066
2.62,2.12,0.1132,0.0000,0.00000,0.00806
2.88,2.12,0.4395,0.0000,0.00000,0.03201
3.12,2.12,0.9984,0.0000,0.00000,0.07547
3.38,2.12,1.3122,0.0000,0.00000,0.10468
3.62,2.12,1.2307,0.0000,0.00000,0.10500
3.88,2.12,1.1821,0.0000,0.00000,0.10853
4.12,2.12,1.3284,0.0000,0.00000,0.13040
4.38,2.12,1.4218,0.0000,0.00000,0.14610
4.62,2.12,1.3998,0.0000,0.00000,0.14674
4.88,2.12,1.4221,0.0000,0.00000,0.15401
5.12,2.12,1.4619,0.0000,0.00000,0.16312
5.38,2.12,1.4856,0.0000,0.00000,0.17001
5.62,2.12,1.5258,0.0000,0.00000,0.18387
5.88,2.12,1.5283,0.0000,0.00000,0.19572
6.12,2.12,1.5778,0.0000,0.00000,0.21271
6.38,2.12,1.5731,0.0001,0.00000,0.21761
6.62,2.12,1.5123,0.0002,0.00000,0.21008
6.88,2.12,1.6282,0.0001,0.00000,0.22433
7.12,2.12,1.4208,0.0000,0.00000,0.19728
7.38,2.12,0.8395,0.0000,0.00000,0.11819
2.62,2.38,0.0929,0.0000,0.00000,0.00520
2.88,2.38,0.3808,0.0000,0.00000,0.02184
3.12,2.38,0.9392,0.0000,0.00000,0.05577
3.38,2.38,1.3325,0.0000,0.00000,0.08264
3.62,2.38,1.2735,0.0000,0.00000,0.08384
3.88,2.38,1.1893,0.0000,0.00000,0.08550
4.12,2.38,1.3219,0.0000,0.00000,0.10334
4.38,2.38,1.4247,0.0000,0.00000,0.11678
4.62,2.38,1.4084,0.0000,0.00000,0.11696
4.88,2.38,1.4296,0.0000,0.00000,0.12273
5.12,2.38,1.4737,0.0000,0.00000,0.13359
5.38,2.38,1.5083,0.0000,0.00000,0.14191
5.62,2.38,1.5395,0.0000,0.00000,0.15181
