angle,col_label,lam,n_seeds,col_switch,col_x,col_y,col_d,col2_x,col2_y,col2_d,inflow_rate_mean,inflow_rate_ci95,door_outflow_mean,door_outflow_ci95,door_rho_steady_mean,door_rho_steady_ci95,door_rho_peak_mean,door_rho_peak_ci95,corner_rho_mean,corner_rho_ci95,door_contact_p95_mean,door_contact_p95_ci95,door_contact_max_mean,door_contact_max_ci95,crush_frac_mean,crush_frac_ci95,casualties_mean,casualties_ci95,mean_n_mean,mean_n_ci95
0,ctrl,12.0,12,0,,,,,,,3.173,0.2971,1.7716,0.3046,7.0054,0.4667,9.0284,0.499,,0.0,289.625,30.839,513.2,18.2925,0.0454,0.005,32.23,3.9085,557.3,5.1305
0,gate,12.0,12,2,6.0,28.2,0.9,4.0,28.2,0.9,3.2143,0.1415,1.8482,0.1405,5.8683,0.1198,8.0739,0.3132,,0.0,349.15,44.0085,499.8583,23.1597,0.066,0.0061,27.485,1.9027,542.8667,3.0988
0,gate_close,12.0,12,2,6.0,28.8,0.8,4.0,28.8,0.8,3.4957,0.2685,2.1165,0.2694,6.2207,0.4044,8.1302,0.2333,,0.0,371.4917,23.0797,476.45,20.6447,0.0641,0.0038,30.9258,2.9136,544.5417,3.0802
0,gate_wide,12.0,12,2,6.25,28.2,0.9,3.75,28.2,0.9,3.3397,0.243,1.966,0.2433,6.0301,0.2113,8.1443,0.2705,,0.0,341.7833,52.4009,502.9083,23.1444,0.0612,0.0073,27.4425,2.1875,544.9083,2.5492
0,pillar_axis,12.0,12,1,5.0,28.5,0.9,,,,3.1277,0.2664,1.7293,0.2744,6.0847,0.3519,8.296,0.292,,0.0,303.9167,56.8498,494.85,28.9735,0.0538,0.0071,31.6267,3.9662,552.0833,3.1683
0,pillar_big,12.0,12,1,5.8,28.0,1.1,,,,3.1149,0.2732,1.7318,0.2698,6.3972,0.2034,8.6477,0.1401,,0.0,339.3667,48.9773,521.4667,31.3218,0.0551,0.0056,27.6083,3.5066,548.9083,3.0133
0,pillar_off,12.0,12,1,5.8,28.5,0.9,,,,3.5027,0.2394,2.1183,0.253,6.5456,0.4564,8.6381,0.1721,,0.0,311.275,47.2631,486.3083,20.9031,0.0509,0.0077,29.2483,4.649,549.7083,5.2311
0,pillar_off_far,12.0,12,1,5.8,27.8,0.9,,,,3.3935,0.42,1.9973,0.4252,6.5198,0.4834,8.8651,0.4529,,0.0,321.425,43.8692,502.975,29.4959,0.0455,0.0092,26.7608,3.7543,550.9583,6.5518
45,ctrl,12.0,12,0,,,,,,,3.4143,0.1986,2.042,0.2068,7.2975,0.3559,8.4166,0.2981,4.5992,0.1418,198.7833,12.9525,338.5,11.2289,0.0,0.0,22.0683,2.929,545.45,4.5531
45,gate,12.0,12,2,12.92,24.505,0.9,11.505,25.92,0.9,3.3817,0.1677,2.0465,0.1718,3.9683,0.2613,6.3919,0.2086,4.7618,0.2478,83.7167,15.4413,199.2917,21.2738,0.0,0.0,16.3675,3.1685,530.875,2.8117
