x,y,rho,contact,casualty,pressure
2.62,0.12,0.3481,0.0008,0.00000,0.33118
2.88,0.12,0.7202,0.0029,0.00000,0.64770
3.12,0.12,1.0769,0.0059,0.00000,0.90333
3.38,0.12,1.1764,0.0094,0.00000,0.90438
3.62,0.12,1.2021,0.0128,0.00000,0.82569
3.88,0.12,1.2893,0.0130,0.00000,0.80829
4.12,0.12,1.2976,0.0118,0.00000,0.75151
4.38,0.12,1.2686,0.0080,0.00000,0.66618
4.62,0.12,1.2936,0.0054,0.00000,0.63419
4.88,0.12,1.3212,0.0048,0.00000,0.62283
5.12,0.12,1.3163,0.0047,0.00000,0.59312
5.38,0.12,1.3050,0.0031,0.00000,0.56639
5.62,0.12,1.2935,0.0019,0.00000,0.53893
5.88,0.12,1.2730,0.0044,0.00000,0.49973
6.12,0.12,1.3073,0.0190,0.00000,0.47746
6.38,0.12,1.3464,0.0583,0.00000,0.48735
6.62,0.12,1.3060,0.2383,0.00000,0.53040
6.88,0.12,1.3317,1.6779,0.00000,0.60698
7.12,0.12,1.1521,7.2570,0.00000,0.57568
7.38,0.12,0.7003,15.8052,0.00000,0.37852
2.62,0.38,0.6026,0.0008,0.00000,0.51778
2.88,0.38,1.1691,0.0030,0.00000,0.94974
3.12,0.38,1.5808,0.0071,0.00000,1.21385
3.38,0.38,1.5301,0.0131,0.00000,1.10884
3.62,0.38,1.4764,0.0177,0.00000,0.94665
3.88,0.38,1.6090,0.0165,0.00000,0.89953
4.12,0.38,1.6177,0.0138,0.00000,0.82001
4.38,0.38,1.5632,0.0095,0.00000,0.71999
4.62,0.38,1.6058,0.0066,0.00000,0.69414
4.88,0.38,1.6440,0.0044,0.00000,0.68557
5.12,0.38,1.6316,0.0030,0.00000,0.63727
5.38,0.38,1.6329,0.0026,0.00000,0.58638
5.62,0.38,1.6461,0.0032,0.00000,0.55345
5.88,0.38,1.6245,0.0061,0.00000,0.51717
6.12,0.38,1.6701,0.0196,0.00000,0.49966
6.38,0.38,1.6929,0.0563,0.00000,0.51142
6.62,0.38,1.5535,0.1932,0.00000,0.51886
6.88,0.38,1.6713,1.3471,0.00000,0.56962
7.12,0.38,1.6558,5.9414,0.00000,0.56167
7.38,0.38,1.0999,13.0148,0.00000,0.38450
2.62,0.62,0.7098,0.0007,0.00000,0.49532
2.88,0.62,1.3711,0.0027,0.00000,0.90588
3.12,0.62,1.7884,0.0068,0.00000,1.12748
3.38,0.62,1.6077,0.0112,0.00000,0.96688
3.62,0.62,1.5096,0.0128,0.00000,0.78257
3.88,0.62,1.6860,0.0120,0.00000,0.73995
4.12,0.62,1.7064,0.0111,0.00000,0.67740
4.38,0.62,1.6572,0.0074,0.00000,0.59586
4.62,0.62,1.7079,0.0045,0.00000,0.57105
4.88,0.62,1.7425,0.0028,0.00000,0.55720
5.12,0.62,1.7267,0.0025,0.00000,0.50810
5.38,0.62,1.7289,0.0034,0.00000,0.46051
5.62,0.62,1.7661,0.0045,0.00000,0.44343
5.88,0.62,1.7539,0.0063,0.00000,0.42492
6.12,0.62,1.8128,0.0130,0.00000,0.41860
6.38,0.62,1.8540,0.0334,0.00000,0.42913
6.62,0.62,1.5898,0.1136,0.00000,0.39156
6.88,0.62,1.7408,0.8602,0.00000,0.39610
7.12,0.62,1.9595,3.8997,0.00000,0.40728
7.38,0.62,1.4066,8.5971,0.00000,0.28948
2.62,0.88,0.6654,0.0003,0.00000,0.30979
2.88,0.88,1.2857,0.0015,0.00000,0.58566
3.12,0.88,1.6636,0.0039,0.00000,0.74273
3.38,0.88,1.5130,0.0057,0.00000,0.63316
3.62,0.88,1.4996,0.0049,0.00000,0.51884
3.88,0.88,1.6677,0.0044,0.00000,0.49611
4.12,0.88,1.6743,0.0048,0.00000,0.46050
4.38,0.88,1.6823,0.0034,0.00000,0.42086
4.62,0.88,1.7444,0.0024,0.00000,0.40334
4.88,0.88,1.7649,0.0027,0.00000,0.38444
5.12,0.88,1.7682,0.0035,0.00000,0.34748
5.38,0.88,1.7648,0.0043,0.00000,0.31939
5.62,0.88,1.8258,0.0038,0.00000,0.32159
5.88,0.88,1.8401,0.0035,0.00000,0.31458
6.12,0.88,1.8905,0.0050,0.00000,0.30338
6.38,0.88,1.9909,0.0129,0.00000,0.30567
6.62,0.88,1.6503,0.0718,0.00000,0.25419
6.88,0.88,1.7504,0.6936,0.00000,0.23914
7.12,0.88,2.1357,3.2330,0.00000,0.26144
7.38,0.88,1.6185,7.1590,0.00000,0.19308
2.62,1.12,0.7863,0.0001,0.00000,0.19686
2.88,1.12,1.4293,0.0004,0.00000,0.37240
