x,y,rho,contact,casualty,pressure
2.62,0.12,0.4111,0.0002,0.00000,0.47927
2.88,0.12,0.8230,0.0008,0.00000,0.86734
3.12,0.12,1.1963,0.0015,0.00000,1.10790
3.38,0.12,1.2753,0.0023,0.00000,1.05504
3.62,0.12,1.2424,0.0043,0.00000,0.95819
3.88,0.12,1.2926,0.0066,0.00000,0.92672
4.12,0.12,1.3258,0.0073,0.00000,0.85748
4.38,0.12,1.3046,0.0079,0.00000,0.77600
4.62,0.12,1.3073,0.0092,0.00000,0.75585
4.88,0.12,1.3209,0.0070,0.00000,0.75418
5.12,0.12,1.3090,0.0053,0.00000,0.70922
5.38,0.12,1.3080,0.0054,0.00000,0.65491
5.62,0.12,1.3174,0.0037,0.00000,0.63946
5.88,0.12,1.2916,0.0016,0.00000,0.62260
6.12,0.12,1.3200,0.0020,0.00000,0.61997
6.38,0.12,1.3738,0.0088,0.00000,0.64436
6.62,0.12,1.3652,0.0597,0.00000,0.63872
6.88,0.12,1.3639,0.5665,0.00000,0.64898
7.12,0.12,1.1224,2.5965,0.00000,0.59116
7.38,0.12,0.6548,5.7116,0.00000,0.37967
2.62,0.38,0.6454,0.0003,0.00000,0.71037
2.88,0.38,1.2086,0.0012,0.00000,1.22093
3.12,0.38,1.5965,0.0027,0.00000,1.43773
3.38,0.38,1.5433,0.0043,0.00000,1.24749
3.62,0.38,1.4564,0.0065,0.00000,1.07279
3.88,0.38,1.5538,0.0091,0.00000,1.02817
4.12,0.38,1.5791,0.0099,0.00000,0.93441
4.38,0.38,1.5225,0.0110,0.00000,0.82342
4.62,0.38,1.5518,0.0138,0.00000,0.78369
4.88,0.38,1.6083,0.0117,0.00000,0.77179
5.12,0.38,1.6050,0.0085,0.00000,0.72226
5.38,0.38,1.6032,0.0077,0.00000,0.67173
5.62,0.38,1.6199,0.0053,0.00000,0.65977
5.88,0.38,1.5901,0.0025,0.00000,0.63103
6.12,0.38,1.6332,0.0019,0.00000,0.61494
6.38,0.38,1.6719,0.0072,0.00000,0.62248
6.62,0.38,1.5797,0.0716,0.00000,0.57598
6.88,0.38,1.6678,0.7579,0.00000,0.58210
7.12,0.38,1.5650,3.5211,0.00000,0.56931
7.38,0.38,1.0011,7.7708,0.00000,0.38406
2.62,0.62,0.6785,0.0003,0.00000,0.62200
2.88,0.62,1.2855,0.0015,0.00000,1.08520
3.12,0.62,1.6702,0.0047,0.00000,1.27538
3.38,0.62,1.5277,0.0076,0.00000,1.05454
3.62,0.62,1.4279,0.0070,0.00000,0.86383
3.88,0.62,1.5882,0.0061,0.00000,0.83138
4.12,0.62,1.6254,0.0060,0.00000,0.75785
4.38,0.62,1.5660,0.0071,0.00000,0.66061
4.62,0.62,1.6209,0.0104,0.00000,0.61784
4.88,0.62,1.6880,0.0104,0.00000,0.59983
5.12,0.62,1.6750,0.0073,0.00000,0.55139
5.38,0.62,1.6705,0.0054,0.00000,0.50609
5.62,0.62,1.7114,0.0040,0.00000,0.50238
5.88,0.62,1.6867,0.0023,0.00000,0.48435
6.12,0.62,1.7363,0.0014,0.00000,0.46730
6.38,0.62,1.7714,0.0035,0.00000,0.46196
6.62,0.62,1.5580,0.0417,0.00000,0.39129
6.88,0.62,1.7276,0.4550,0.00000,0.38505
7.12,0.62,1.8919,2.1150,0.00000,0.40585
7.38,0.62,1.3305,4.6655,0.00000,0.28742
2.62,0.88,0.5414,0.0002,0.00000,0.33569
2.88,0.88,1.0853,0.0016,0.00000,0.63953
3.12,0.88,1.4745,0.0063,0.00000,0.82153
3.38,0.88,1.3823,0.0101,0.00000,0.70678
3.62,0.88,1.3390,0.0066,0.00000,0.57337
3.88,0.88,1.5132,0.0025,0.00000,0.54574
4.12,0.88,1.5681,0.0015,0.00000,0.50235
4.38,0.88,1.5652,0.0019,0.00000,0.44533
4.62,0.88,1.6461,0.0036,0.00000,0.41532
4.88,0.88,1.7012,0.0044,0.00000,0.39575
5.12,0.88,1.6881,0.0032,0.00000,0.35704
5.38,0.88,1.6880,0.0028,0.00000,0.32417
5.62,0.88,1.7599,0.0033,0.00000,0.32816
5.88,0.88,1.7476,0.0022,0.00000,0.32374
6.12,0.88,1.8066,0.0008,0.00000,0.30801
6.38,0.88,1.8992,0.0008,0.00000,0.29957
6.62,0.88,1.5656,0.0096,0.00000,0.23679
6.88,0.88,1.7055,0.1034,0.00000,0.22418
7.12,0.88,2.0899,0.4751,0.00000,0.25324
7.38,0.88,1.5745,1.0432,0.00000,0.18769
2.62,1.12,0.5612,0.0003,0.00000,0.18008
2.88,1.12,1.1331,0.0014,0.00000,0.38148
3.12,1.12,1.5649,0.0045,0.00000,0.54719
3.38,1.12,1.5385,0.0064,0.00000,0.51782
3.62,1.12,1.5490,0.0037,0.00000,0.43992
3.88,1.12,1.6838,0.0009,0.00000,0.40702
4.12,1.12,1.7134,0.0002,0.00000,0.36904
4.38,1.12,1.7556,0.0003,0.00000,0.33120
4.62,1.12,1.8454,0.0007,0.00000,0.30805
4.88,1.12,1.8882,0.0010,0.00000,0.28935
5.12,1.12,1.8956,0.0013,0.00000,0.26453
5.38,1.12,1.8794,0.0031,0.00000,0.24271
5.62,1.12,1.9596,0.0048,0.00000,0.24568
5.88,1.12,1.9703,0.0030,0.00000,0.24234
6.12,1.12,1.9995,0.0007,0.00000,0.22482
6.38,1.12,2.1418,0.0001,0.00000,0.21990
6.62,1.12,1.7559,0.0009,0.00000,0.17461
6.88,1.12,1.8311,0.0090,0.00000,0.16318
7.12,1.12,2.3088,0.0398,0.00000,0.19061
7.38,1.12,1.7864,0.0863,0.00000,0.14499
2.62,1.38,0.7632,0.0003,0.00000,0.13451
2.88,1.38,1.4217,0.0012,0.00000,0.27859
3.12,1.38,1.8195,0.0024,0.00000,0.39353
3.38,1.38,1.7615,0.0023,0.00000,0.38012
3.62,1.38,1.8200,0.0011,0.00000,0.34327
3.88,1.38,1.9232,0.0003,0.00000,0.32545
4.12,1.38,1.9017,0.0001,0.00000,0.29297
4.38,1.38,1.9407,0.0002,0.00000,0.26199
4.62,1.38,2.0002,0.0010,0.00000,0.24240
4.88,1.38,2.0143,0.0020,0.00000,0.22830
5.12,1.38,2.0459,0.0026,0.00000,0.21464
5.38,1.38,1.9995,0.0050,0.00000,0.19488
5.62,1.38,2.0898,0.0073,0.00000,0.19151
5.88,1.38,2.1739,0.0044,0.00000,0.18816
6.12,1.38,2.0968,0.0010,0.00000,0.16924
6.38,1.38,2.2069,0.0001,0.00000,0.16730
6.62,1.38,1.9018,0.0000,0.00000,0.13954
6.88,1.38,1.9663,0.0003,0.00000,0.12924
7.12,1.38,2.4437,0.0013,0.00000,0.14903
7.38,1.38,1.8980,0.0027,0.00000,0.11396
2.62,1.62,1.0144,0.0004,0.00000,0.12244
2.88,1.62,1.6640,0.0015,0.00000,0.22098
