x,y,rho,contact,casualty,pressure
2.62,0.12,0.3827,0.0054,0.00000,0.41415
2.88,0.12,0.7719,0.0124,0.00000,0.78817
3.12,0.12,1.1262,0.0265,0.00000,1.06010
3.38,0.12,1.2105,0.0412,0.00000,1.03364
3.62,0.12,1.2113,0.0378,0.00000,0.94434
3.88,0.12,1.2715,0.0225,0.00000,0.92524
4.12,0.12,1.2861,0.0174,0.00000,0.86759
4.38,0.12,1.2790,0.0246,0.00000,0.78572
4.62,0.12,1.3120,0.0304,0.00000,0.72564
4.88,0.12,1.3141,0.0196,0.00000,0.66907
5.12,0.12,1.2925,0.0077,0.00000,0.61573
5.38,0.12,1.3138,0.0044,0.00000,0.59280
5.62,0.12,1.3398,0.0026,0.00000,0.58590
5.88,0.12,1.2981,0.0042,0.00000,0.54321
6.12,0.12,1.2972,0.0173,0.00000,0.50488
6.38,0.12,1.3486,0.0384,0.00000,0.50604
6.62,0.12,1.3354,0.1839,0.00000,0.49252
6.88,0.12,1.3438,1.7844,0.00000,0.52783
7.12,0.12,1.1457,8.2417,0.00000,0.53412
7.38,0.12,0.6914,18.1898,0.00000,0.36634
2.62,0.38,0.6249,0.0071,0.00000,0.60264
2.88,0.38,1.1846,0.0145,0.00000,1.08309
3.12,0.38,1.5662,0.0246,0.00000,1.34064
3.38,0.38,1.5019,0.0340,0.00000,1.19736
3.62,0.38,1.4425,0.0338,0.00000,1.04790
3.88,0.38,1.5600,0.0259,0.00000,1.02485
4.12,0.38,1.5824,0.0238,0.00000,0.94640
4.38,0.38,1.5529,0.0253,0.00000,0.83834
4.62,0.38,1.5987,0.0252,0.00000,0.76433
4.88,0.38,1.6148,0.0167,0.00000,0.69465
5.12,0.38,1.5864,0.0083,0.00000,0.62505
5.38,0.38,1.6052,0.0058,0.00000,0.58586
5.62,0.38,1.6407,0.0032,0.00000,0.57372
5.88,0.38,1.5996,0.0025,0.00000,0.53796
6.12,0.38,1.6206,0.0093,0.00000,0.50729
6.38,0.38,1.6666,0.0254,0.00000,0.49340
6.62,0.38,1.5712,0.1558,0.00000,0.45006
6.88,0.38,1.6667,1.5688,0.00000,0.48491
7.12,0.38,1.5992,7.2895,0.00000,0.51266
7.38,0.38,1.0406,16.1129,0.00000,0.35922
2.62,0.62,0.6847,0.0047,0.00000,0.52205
2.88,0.62,1.3160,0.0098,0.00000,0.95476
3.12,0.62,1.7124,0.0148,0.00000,1.18008
3.38,0.62,1.5394,0.0175,0.00000,1.00819
3.62,0.62,1.4410,0.0183,0.00000,0.85314
3.88,0.62,1.6225,0.0185,0.00000,0.84850
4.12,0.62,1.6610,0.0199,0.00000,0.78248
4.38,0.62,1.6110,0.0181,0.00000,0.68058
4.62,0.62,1.6624,0.0152,0.00000,0.61782
4.88,0.62,1.6993,0.0097,0.00000,0.55990
5.12,0.62,1.6785,0.0049,0.00000,0.49834
5.38,0.62,1.6813,0.0035,0.00000,0.45563
5.62,0.62,1.7223,0.0019,0.00000,0.44061
5.88,0.62,1.7004,0.0011,0.00000,0.41750
6.12,0.62,1.7489,0.0052,0.00000,0.40007
6.38,0.62,1.7928,0.0213,0.00000,0.38340
6.62,0.62,1.5709,0.1278,0.00000,0.32652
6.88,0.62,1.7382,1.2298,0.00000,0.35109
7.12,0.62,1.9203,5.7265,0.00000,0.39039
7.38,0.62,1.3589,12.6796,0.00000,0.28032
2.62,0.88,0.5549,0.0018,0.00000,0.29221
2.88,0.88,1.1266,0.0048,0.00000,0.59149
3.12,0.88,1.5370,0.0073,0.00000,0.79733
3.38,0.88,1.4232,0.0064,0.00000,0.69529
3.62,0.88,1.3696,0.0060,0.00000,0.57419
3.88,0.88,1.5585,0.0080,0.00000,0.56822
4.12,0.88,1.6092,0.0090,0.00000,0.52494
4.38,0.88,1.5923,0.0072,0.00000,0.46023
4.62,0.88,1.6579,0.0055,0.00000,0.42614
4.88,0.88,1.7130,0.0032,0.00000,0.39585
5.12,0.88,1.7195,0.0013,0.00000,0.35873
5.38,0.88,1.7049,0.0008,0.00000,0.32243
5.62,0.88,1.7599,0.0005,0.00000,0.30739
5.88,0.88,1.7758,0.0009,0.00000,0.29475
6.12,0.88,1.8318,0.0064,0.00000,0.28550
6.38,0.88,1.9157,0.0255,0.00000,0.27964
6.62,0.88,1.5972,0.1047,0.00000,0.23203
6.88,0.88,1.7269,0.8665,0.00000,0.24376
7.12,0.88,2.0918,4.0071,0.00000,0.27913
7.38,0.88,1.5720,8.8784,0.00000,0.20433
2.62,1.12,0.5717,0.0006,0.00000,0.17351
2.88,1.12,1.1491,0.0020,0.00000,0.38981
3.12,1.12,1.5863,0.0031,0.00000,0.57785
3.38,1.12,1.5647,0.0022,0.00000,0.53980
3.62,1.12,1.5749,0.0017,0.00000,0.45094
3.88,1.12,1.7186,0.0024,0.00000,0.42920
4.12,1.12,1.7615,0.0023,0.00000,0.39556
4.38,1.12,1.7900,0.0014,0.00000,0.35767
4.62,1.12,1.8464,0.0010,0.00000,0.33432
4.88,1.12,1.8887,0.0005,0.00000,0.31039
5.12,1.12,1.9162,0.0002,0.00000,0.28698
5.38,1.12,1.8906,0.0001,0.00000,0.26248
5.62,1.12,1.9662,0.0001,0.00000,0.24825
5.88,1.12,2.0077,0.0009,0.00000,0.23542
6.12,1.12,1.9922,0.0055,0.00000,0.22505
6.38,1.12,2.0987,0.0182,0.00000,0.22755
6.62,1.12,1.7930,0.0729,0.00000,0.19386
6.88,1.12,1.8818,0.6271,0.00000,0.19830
7.12,1.12,2.3076,2.9138,0.00000,0.22540
