x,y,rho,contact,casualty,pressure
2.62,0.12,0.2955,0.0037,0.00000,0.15771
2.88,0.12,0.5388,0.0062,0.00000,0.27768
3.12,0.12,0.6821,0.0113,0.00000,0.33751
3.38,0.12,0.6765,0.0194,0.00000,0.32739
3.62,0.12,0.7457,0.0215,0.00000,0.34990
3.88,0.12,0.8445,0.0184,0.00000,0.36806
4.12,0.12,0.8600,0.0172,0.00000,0.34271
4.38,0.12,0.9172,0.0155,0.00000,0.32150
4.62,0.12,1.0428,0.0135,0.00000,0.32480
4.88,0.12,1.1112,0.0145,0.00000,0.32687
5.12,0.12,1.1249,0.0143,0.00000,0.31166
5.38,0.12,1.1551,0.0112,0.00000,0.28787
5.62,0.12,1.1875,0.0091,0.00000,0.27502
5.88,0.12,1.1531,0.0074,0.00000,0.26864
6.12,0.12,1.1801,0.0068,0.00000,0.27608
6.38,0.12,1.2389,0.0099,0.00000,0.28096
6.62,0.12,1.1732,0.0767,0.00000,0.25801
6.88,0.12,1.1495,0.8507,0.00000,0.27580
7.12,0.12,0.9912,4.0101,0.00000,0.27534
7.38,0.12,0.6048,8.8946,0.00000,0.18422
2.62,0.38,0.6063,0.0087,0.00000,0.30987
2.88,0.38,1.1450,0.0148,0.00000,0.56828
3.12,0.38,1.4646,0.0259,0.00000,0.70753
3.38,0.38,1.3584,0.0408,0.00000,0.65338
3.62,0.38,1.3845,0.0417,0.00000,0.65003
3.88,0.38,1.5444,0.0345,0.00000,0.67315
4.12,0.38,1.5150,0.0318,0.00000,0.61806
4.38,0.38,1.4987,0.0279,0.00000,0.55894
4.62,0.38,1.6108,0.0241,0.00000,0.54209
4.88,0.38,1.6528,0.0289,0.00000,0.52315
5.12,0.38,1.6203,0.0359,0.00000,0.48161
5.38,0.38,1.6351,0.0360,0.00000,0.43951
5.62,0.38,1.6667,0.0331,0.00000,0.41821
5.88,0.38,1.6172,0.0265,0.00000,0.40771
6.12,0.38,1.6646,0.0216,0.00000,0.41696
6.38,0.38,1.7168,0.0276,0.00000,0.41793
6.62,0.38,1.5717,0.1497,0.00000,0.37324
6.88,0.38,1.6617,1.5304,0.00000,0.41595
7.12,0.38,1.6398,7.1691,0.00000,0.45338
7.38,0.38,1.0887,15.8911,0.00000,0.32033
2.62,0.62,0.8272,0.0121,0.00000,0.37806
2.88,0.62,1.5881,0.0249,0.00000,0.72320
3.12,0.62,2.0276,0.0524,0.00000,0.92384
3.38,0.62,1.7921,0.0796,0.00000,0.82192
3.62,0.62,1.7405,0.0682,0.00000,0.76935
3.88,0.62,1.9411,0.0455,0.00000,0.79052
4.12,0.62,1.8880,0.0372,0.00000,0.72371
4.38,0.62,1.8008,0.0312,0.00000,0.64170
4.62,0.62,1.8627,0.0266,0.00000,0.60824
4.88,0.62,1.8787,0.0345,0.00000,0.57315
5.12,0.62,1.8362,0.0508,0.00000,0.51621
5.38,0.62,1.8417,0.0586,0.00000,0.47108
5.62,0.62,1.8783,0.0566,0.00000,0.45157
5.88,0.62,1.8485,0.0454,0.00000,0.43667
6.12,0.62,1.8991,0.0352,0.00000,0.44094
6.38,0.62,1.9210,0.0403,0.00000,0.44056
6.62,0.62,1.6651,0.1700,0.00000,0.37846
6.88,0.62,1.8280,1.6059,0.00000,0.41637
