x,y,rho,contact,casualty,pressure
2.62,0.12,0.2987,0.0093,0.00000,0.15002
2.88,0.12,0.5588,0.0124,0.00000,0.25314
3.12,0.12,0.7192,0.0111,0.00000,0.30208
3.38,0.12,0.7012,0.0128,0.00000,0.31519
3.62,0.12,0.7669,0.0170,0.00000,0.37378
3.88,0.12,0.9060,0.0184,0.00000,0.41558
4.12,0.12,0.9571,0.0213,0.00000,0.38318
4.38,0.12,1.0063,0.0185,0.00000,0.34004
4.62,0.12,1.0999,0.0118,0.00000,0.32162
4.88,0.12,1.1322,0.0093,0.00000,0.29394
5.12,0.12,1.1328,0.0092,0.00000,0.26471
5.38,0.12,1.1745,0.0100,0.00000,0.25865
5.62,0.12,1.2295,0.0099,0.00000,0.26204
5.88,0.12,1.2250,0.0084,0.00000,0.24618
6.12,0.12,1.2481,0.0100,0.00000,0.24684
6.38,0.12,1.2916,0.0212,0.00000,0.26290
6.62,0.12,1.2395,0.1031,0.00000,0.24682
6.88,0.12,1.2454,0.9457,0.00000,0.25702
7.12,0.12,1.0660,4.3914,0.00000,0.25795
7.38,0.12,0.6391,9.7244,0.00000,0.17547
2.62,0.38,0.6052,0.0205,0.00000,0.29380
2.88,0.38,1.1598,0.0301,0.00000,0.51921
3.12,0.38,1.4997,0.0340,0.00000,0.63818
3.38,0.38,1.3811,0.0406,0.00000,0.62890
3.62,0.38,1.3909,0.0432,0.00000,0.68635
3.88,0.38,1.5688,0.0423,0.00000,0.73928
4.12,0.38,1.5598,0.0463,0.00000,0.66420
4.38,0.38,1.5374,0.0385,0.00000,0.56535
4.62,0.38,1.6282,0.0257,0.00000,0.52225
4.88,0.38,1.6474,0.0207,0.00000,0.47691
5.12,0.38,1.6187,0.0199,0.00000,0.42182
5.38,0.38,1.6518,0.0201,0.00000,0.39428
5.62,0.38,1.6821,0.0213,0.00000,0.38419
5.88,0.38,1.6317,0.0249,0.00000,0.35691
6.12,0.38,1.6664,0.0390,0.00000,0.35793
6.38,0.38,1.7205,0.0822,0.00000,0.37803
6.62,0.38,1.5922,0.2463,0.00000,0.35070
6.88,0.38,1.6922,1.7061,0.00000,0.39025
7.12,0.38,1.6564,7.7244,0.00000,0.43132
7.38,0.38,1.0917,17.0698,0.00000,0.30878
2.62,0.62,0.8240,0.0256,0.00000,0.35897
2.88,0.62,1.5876,0.0445,0.00000,0.66794
3.12,0.62,2.0333,0.0706,0.00000,0.85093
3.38,0.62,1.7977,0.0940,0.00000,0.80509
3.62,0.62,1.7369,0.0826,0.00000,0.81472
3.88,0.62,1.9264,0.0678,0.00000,0.85837
4.12,0.62,1.8779,0.0693,0.00000,0.77431
4.38,0.62,1.8028,0.0570,0.00000,0.65937
4.62,0.62,1.8614,0.0412,0.00000,0.60326
4.88,0.62,1.8641,0.0327,0.00000,0.54805
5.12,0.62,1.8363,0.0269,0.00000,0.48243
5.38,0.62,1.8627,0.0233,0.00000,0.44126
5.62,0.62,1.8846,0.0253,0.00000,0.42274
5.88,0.62,1.8402,0.0361,0.00000,0.39267
6.12,0.62,1.8775,0.0636,0.00000,0.37962
6.38,0.62,1.9072,0.1352,0.00000,0.38376
6.62,0.62,1.6613,0.3435,0.00000,0.34942
6.88,0.62,1.8212,1.9970,0.00000,0.40955
7.12,0.62,2.0258,8.8458,0.00000,0.48773
7.38,0.62,1.4480,19.5066,0.00000,0.36266
2.62,0.88,0.9185,0.0171,0.00000,0.30228
2.88,0.88,1.6299,0.0396,0.00000,0.56509
3.12,0.88,1.9331,0.0867,0.00000,0.71900
3.38,0.88,1.7202,0.1256,0.00000,0.67551
3.62,0.88,1.7611,0.1017,0.00000,0.67804
3.88,0.88,1.9125,0.0734,0.00000,0.70631
4.12,0.88,1.8718,0.0720,0.00000,0.65325
4.38,0.88,1.8600,0.0622,0.00000,0.58668
4.62,0.88,1.8926,0.0475,0.00000,0.54211
4.88,0.88,1.8760,0.0341,0.00000,0.48597
5.12,0.88,1.8809,0.0221,0.00000,0.42978
5.38,0.88,1.8992,0.0154,0.00000,0.38758
5.62,0.88,1.9393,0.0147,0.00000,0.36668
5.88,0.88,1.9623,0.0215,0.00000,0.35020
6.12,0.88,1.9777,0.0403,0.00000,0.32903
6.38,0.88,2.0058,0.0896,0.00000,0.31907
6.62,0.88,1.7145,0.2731,0.00000,0.28630
6.88,0.88,1.8373,1.8644,0.00000,0.33286
