x,y,rho,contact,casualty,pressure
2.62,0.12,0.2982,0.0039,0.00000,0.15632
2.88,0.12,0.5737,0.0094,0.00000,0.27613
3.12,0.12,0.7624,0.0149,0.00000,0.34758
3.38,0.12,0.7611,0.0164,0.00000,0.34951
3.62,0.12,0.8424,0.0156,0.00000,0.36250
3.88,0.12,0.9945,0.0099,0.00000,0.38320
4.12,0.12,1.0220,0.0054,0.00000,0.36791
4.38,0.12,1.0478,0.0070,0.00000,0.35882
4.62,0.12,1.1630,0.0124,0.00000,0.37218
4.88,0.12,1.2301,0.0168,0.00000,0.34928
5.12,0.12,1.2247,0.0184,0.00000,0.30310
5.38,0.12,1.2452,0.0157,0.00000,0.28092
5.62,0.12,1.2877,0.0103,0.00000,0.28831
5.88,0.12,1.2811,0.0079,0.00000,0.29763
6.12,0.12,1.3098,0.0107,0.00000,0.30576
6.38,0.12,1.3387,0.0236,0.00000,0.31821
6.62,0.12,1.2548,0.0873,0.00000,0.30063
6.88,0.12,1.2313,0.7075,0.00000,0.30485
7.12,0.12,1.0658,3.2550,0.00000,0.30487
7.38,0.12,0.6554,7.2005,0.00000,0.21664
2.62,0.38,0.6039,0.0109,0.00000,0.30835
2.88,0.38,1.1752,0.0223,0.00000,0.56174
3.12,0.38,1.5386,0.0344,0.00000,0.70715
3.38,0.38,1.4190,0.0429,0.00000,0.65550
3.62,0.38,1.4280,0.0427,0.00000,0.61606
3.88,0.38,1.6148,0.0281,0.00000,0.62812
4.12,0.38,1.5902,0.0159,0.00000,0.59134
4.38,0.38,1.5399,0.0150,0.00000,0.55029
4.62,0.38,1.6336,0.0253,0.00000,0.54523
4.88,0.38,1.6820,0.0390,0.00000,0.50530
5.12,0.38,1.6468,0.0456,0.00000,0.43493
5.38,0.38,1.6565,0.0404,0.00000,0.38964
5.62,0.38,1.6972,0.0312,0.00000,0.39059
5.88,0.38,1.6770,0.0253,0.00000,0.40304
6.12,0.38,1.7073,0.0290,0.00000,0.41266
6.38,0.38,1.7324,0.0581,0.00000,0.42615
6.62,0.38,1.5979,0.1860,0.00000,0.40277
6.88,0.38,1.6837,1.3934,0.00000,0.44046
7.12,0.38,1.6507,6.3578,0.00000,0.48002
7.38,0.38,1.0995,14.0503,0.00000,0.35450
2.62,0.62,0.8135,0.0169,0.00000,0.36957
2.88,0.62,1.5777,0.0337,0.00000,0.69837
3.12,0.62,2.0263,0.0590,0.00000,0.88737
3.38,0.62,1.7805,0.0864,0.00000,0.77764
3.62,0.62,1.7080,0.0875,0.00000,0.68836
3.88,0.62,1.8963,0.0576,0.00000,0.69677
4.12,0.62,1.8582,0.0317,0.00000,0.65627
4.38,0.62,1.7884,0.0232,0.00000,0.60255
4.62,0.62,1.8513,0.0322,0.00000,0.58329
4.88,0.62,1.8708,0.0515,0.00000,0.53388
5.12,0.62,1.8269,0.0619,0.00000,0.46163
5.38,0.62,1.8265,0.0567,0.00000,0.41107
5.62,0.62,1.8671,0.0478,0.00000,0.40050
5.88,0.62,1.8521,0.0400,0.00000,0.40165
6.12,0.62,1.8706,0.0429,0.00000,0.40398
6.38,0.62,1.8825,0.0820,0.00000,0.41573
6.62,0.62,1.6613,0.2507,0.00000,0.38788
6.88,0.62,1.8177,1.7862,0.00000,0.43730
7.12,0.62,2.0142,8.0760,0.00000,0.50508
7.38,0.62,1.4455,17.8255,0.00000,0.38226
2.62,0.88,0.8941,0.0143,0.00000,0.28826
2.88,0.88,1.5985,0.0330,0.00000,0.54821
3.12,0.88,1.9099,0.0705,0.00000,0.69683
3.38,0.88,1.7079,0.1123,0.00000,0.61543
3.62,0.88,1.7397,0.1137,0.00000,0.56257
3.88,0.88,1.8600,0.0788,0.00000,0.57095
4.12,0.88,1.8265,0.0468,0.00000,0.54131
4.38,0.88,1.8503,0.0301,0.00000,0.50815
4.62,0.88,1.9035,0.0283,0.00000,0.48990
4.88,0.88,1.9050,0.0384,0.00000,0.44833
5.12,0.88,1.9026,0.0457,0.00000,0.39741
5.38,0.88,1.9041,0.0420,0.00000,0.35960
5.62,0.88,1.9484,0.0351,0.00000,0.34292
5.88,0.88,1.9666,0.0317,0.00000,0.33326
6.12,0.88,1.9562,0.0363,0.00000,0.32249
6.38,0.88,1.9947,0.0647,0.00000,0.32497
6.62,0.88,1.7367,0.2260,0.00000,0.29599
6.88,0.88,1.8409,1.6741,0.00000,0.32685
7.12,0.88,2.1698,7.5289,0.00000,0.38816
7.38,0.88,1.6339,16.5999,0.00000,0.29721
2.62,1.12,1.1453,0.0099,0.00000,0.21609
2.88,1.12,1.7992,0.0253,0.00000,0.38301
3.12,1.12,1.8858,0.0550,0.00000,0.46363
3.38,1.12,1.7627,0.0844,0.00000,0.43576
3.62,1.12,1.9863,0.0893,0.00000,0.44251
3.88,1.12,2.0164,0.0777,0.00000,0.44866
4.12,1.12,1.9574,0.0589,0.00000,0.42812
4.38,1.12,2.0506,0.0377,0.00000,0.41223
4.62,1.12,2.0700,0.0273,0.00000,0.39450
4.88,1.12,2.0556,0.0303,0.00000,0.36720
5.12,1.12,2.0979,0.0336,0.00000,0.33613
5.38,1.12,2.0987,0.0286,0.00000,0.30659
5.62,1.12,2.1386,0.0200,0.00000,0.28934
5.88,1.12,2.1874,0.0203,0.00000,0.28012
6.12,1.12,2.0945,0.0268,0.00000,0.26287
6.38,1.12,2.1615,0.0395,0.00000,0.26202
6.62,1.12,2.0069,0.1814,0.00000,0.24151
6.88,1.12,2.0722,1.5259,0.00000,0.25041
7.12,1.12,2.4102,6.9110,0.00000,0.28867
7.38,1.12,1.8348,15.2440,0.00000,0.21968
2.62,1.38,1.4579,0.0062,0.00000,0.17997
2.88,1.38,2.1028,0.0166,0.00000,0.28981
3.12,1.38,1.9673,0.0318,0.00000,0.32048
3.38,1.38,1.8527,0.0426,0.00000,0.31419
3.62,1.38,2.1980,0.0518,0.00000,0.34846
3.88,1.38,2.1706,0.0605,0.00000,0.35535
4.12,1.38,2.1043,0.0548,0.00000,0.34599
4.38,1.38,2.1849,0.0382,0.00000,0.33776
4.62,1.38,2.1698,0.0316,0.00000,0.32159
4.88,1.38,2.1685,0.0357,0.00000,0.30714
5.12,1.38,2.2231,0.0348,0.00000,0.28742
5.38,1.38,2.2314,0.0281,0.00000,0.26183
5.62,1.38,2.2644,0.0169,0.00000,0.24378
5.88,1.38,2.3460,0.0134,0.00000,0.23729
6.12,1.38,2.1549,0.0156,0.00000,0.21793
6.38,1.38,2.1890,0.0215,0.00000,0.21517
6.62,1.38,2.2146,0.1635,0.00000,0.20706
6.88,1.38,2.2802,1.6736,0.00000,0.20515
7.12,1.38,2.5507,7.7703,0.00000,0.22471
7.38,1.38,1.9319,17.1941,0.00000,0.16942
2.62,1.62,1.6623,0.0034,0.00000,0.15914
2.88,1.62,2.2623,0.0105,0.00000,0.23588
3.12,1.62,1.9396,0.0183,0.00000,0.23413
3.38,1.62,1.8514,0.0211,0.00000,0.23179
3.62,1.62,2.2842,0.0273,0.00000,0.27521
3.88,1.62,2.2372,0.0336,0.00000,0.28081
4.12,1.62,2.2014,0.0318,0.00000,0.27812
4.38,1.62,2.2232,0.0267,0.00000,0.27538
4.62,1.62,2.2140,0.0287,0.00000,0.26552
4.88,1.62,2.2709,0.0354,0.00000,0.25885
5.12,1.62,2.3128,0.0340,0.00000,0.24330
5.38,1.62,2.3497,0.0286,0.00000,0.22529
5.62,1.62,2.3316,0.0169,0.00000,0.20851
5.88,1.62,2.4129,0.0091,0.00000,0.20339
6.12,1.62,2.2101,0.0075,0.00000,0.18498
6.38,1.62,2.2342,0.0132,0.00000,0.18024
6.62,1.62,2.4299,0.1910,0.00000,0.18299
6.88,1.62,2.4708,2.2123,0.00000,0.17990
7.12,1.62,2.6271,10.4330,0.00000,0.19009
7.38,1.62,1.9679,23.1361,0.00000,0.14264
2.62,1.88,1.8721,0.0022,0.00000,0.14637
2.88,1.88,2.4585,0.0073,0.00000,0.20457
3.12,1.88,2.0014,0.0123,0.00000,0.18523
3.38,1.88,1.9359,0.0124,0.00000,0.18113
3.62,1.88,2.4088,0.0140,0.00000,0.22163
3.88,1.88,2.3663,0.0152,0.00000,0.22274
4.12,1.88,2.3777,0.0142,0.00000,0.21878
4.38,1.88,2.3047,0.0144,0.00000,0.21449
4.62,1.88,2.2966,0.0173,0.00000,0.21110
4.88,1.88,2.4130,0.0216,0.00000,0.21186
5.12,1.88,2.4392,0.0210,0.00000,0.19979
5.38,1.88,2.5249,0.0179,0.00000,0.19076
5.62,1.88,2.4188,0.0113,0.00000,0.17609
5.88,1.88,2.4379,0.0071,0.00000,0.16987
6.12,1.88,2.2830,0.0063,0.00000,0.15482
6.38,1.88,2.3303,0.0113,0.00000,0.15153
6.62,1.88,2.6483,0.2055,0.00000,0.16293
6.88,1.88,2.6887,2.4588,0.00000,0.16314
7.12,1.88,2.7756,11.6347,0.00000,0.16981
7.38,1.88,2.0626,25.8128,0.00000,0.12695
2.62,2.12,1.9995,0.0040,0.00000,0.12698
2.88,2.12,2.5972,0.0135,0.00000,0.17295
3.12,2.12,2.1104,0.0215,0.00000,0.15116
3.38,2.12,2.0489,0.0152,0.00000,0.14501
3.62,2.12,2.4579,0.0084,0.00000,0.17192
3.88,2.12,2.4471,0.0075,0.00000,0.17095
4.12,2.12,2.5307,0.0078,0.00000,0.16921
4.38,2.12,2.3718,0.0086,0.00000,0.16167
4.62,2.12,2.3599,0.0116,0.00000,0.16235
4.88,2.12,2.4968,0.0156,0.00000,0.16870
5.12,2.12,2.5019,0.0150,0.00000,0.16104
5.38,2.12,2.6380,0.0108,0.00000,0.15923
5.62,2.12,2.4884,0.0071,0.00000,0.14607
5.88,2.12,2.4675,0.0068,0.00000,0.13815
6.12,2.12,2.3744,0.0078,0.00000,0.12806
6.38,2.12,2.4128,0.0100,0.00000,0.12585
6.62,2.12,2.7704,0.1380,0.00000,0.13950
6.88,2.12,2.8097,1.6396,0.00000,0.14135
7.12,2.12,2.8577,7.7566,0.00000,0.14571
7.38,2.12,2.1142,17.2079,0.00000,0.10859
2.62,2.38,2.0486,0.0063,0.00000,0.10753
2.88,2.38,2.6670,0.0209,0.00000,0.14407
3.12,2.38,2.2299,0.0331,0.00000,0.12544
3.38,2.38,2.1692,0.0216,0.00000,0.12054
3.62,2.38,2.4448,0.0079,0.00000,0.13475
3.88,2.38,2.4703,0.0050,0.00000,0.13321
4.12,2.38,2.6341,0.0056,0.00000,0.13589
4.38,2.38,2.4505,0.0068,0.00000,0.12779
4.62,2.38,2.4352,0.0112,0.00000,0.12738
4.88,2.38,2.5301,0.0169,0.00000,0.13250
5.12,2.38,2.5238,0.0176,0.00000,0.12931
5.38,2.38,2.6893,0.0121,0.00000,0.13306
5.62,2.38,2.5303,0.0063,0.00000,0.12338
5.88,2.38,2.5109,0.0050,0.00000,0.11724
6.12,2.38,2.4890,0.0062,0.00000,0.11242
6.38,2.38,2.5168,0.0076,0.00000,0.11084
6.62,2.38,2.8698,0.0530,0.00000,0.12321
6.88,2.38,2.8826,0.5783,0.00000,0.12326
7.12,2.38,2.8899,2.7195,0.00000,0.12428
7.38,2.38,2.1287,6.0277,0.00000,0.09191
2.62,2.62,2.1120,0.0041,0.00000,0.09079
2.88,2.62,2.7717,0.0131,0.00000,0.12087
3.12,2.62,2.4132,0.0208,0.00000,0.10789
3.38,2.62,2.3492,0.0148,0.00000,0.10594
3.62,2.62,2.4596,0.0072,0.00000,0.11067
3.88,2.62,2.4947,0.0052,0.00000,0.10821
4.12,2.62,2.7161,0.0048,0.00000,0.11293
4.38,2.62,2.5687,0.0054,0.00000,0.10612
4.62,2.62,2.5428,0.0076,0.00000,0.10364
4.88,2.62,2.5505,0.0109,0.00000,0.10531
5.12,2.62,2.5550,0.0132,0.00000,0.10445
5.38,2.62,2.7287,0.0114,0.00000,0.11041
5.62,2.62,2.5832,0.0062,0.00000,0.10636
5.88,2.62,2.5727,0.0033,0.00000,0.10420
6.12,2.62,2.6042,0.0031,0.00000,0.10158
6.38,2.62,2.6271,0.0045,0.00000,0.09869
6.62,2.62,2.9596,0.0138,0.00000,0.10810
6.88,2.62,2.9617,0.1027,0.00000,0.10669
7.12,2.62,2.9596,0.4637,0.00000,0.10588
7.38,2.62,2.1770,1.0197,0.00000,0.07779
2.62,2.88,2.1348,0.0023,0.00000,0.07657
2.88,2.88,2.8327,0.0047,0.00000,0.10221
3.12,2.88,2.5858,0.0063,0.00000,0.09400
3.38,2.88,2.5386,0.0053,0.00000,0.09292
3.62,2.88,2.4829,0.0047,0.00000,0.09122
3.88,2.88,2.5061,0.0054,0.00000,0.08804
4.12,2.88,2.7400,0.0071,0.00000,0.09249
4.38,2.88,2.6589,0.0093,0.00000,0.08874
4.62,2.88,2.6407,0.0090,0.00000,0.08830
4.88,2.88,2.5820,0.0086,0.00000,0.08917
5.12,2.88,2.6005,0.0085,0.00000,0.08781
5.38,2.88,2.7456,0.0080,0.00000,0.09135
5.62,2.88,2.6624,0.0062,0.00000,0.09082
5.88,2.88,2.6748,0.0046,0.00000,0.09224
6.12,2.88,2.7376,0.0028,0.00000,0.09192
6.38,2.88,2.7487,0.0021,0.00000,0.08680
6.62,2.88,3.0383,0.0037,0.00000,0.09180
6.88,2.88,3.0301,0.0128,0.00000,0.09169
7.12,2.88,3.0312,0.0454,0.00000,0.09261
7.38,2.88,2.2299,0.0925,0.00000,0.06826
2.62,3.12,2.1649,0.0024,0.00000,0.06769
2.88,3.12,2.8994,0.0034,0.00000,0.09004
3.12,3.12,2.7461,0.0033,0.00000,0.08205
3.38,3.12,2.7096,0.0031,0.00000,0.07804
3.62,3.12,2.5274,0.0029,0.00000,0.07295
