x,y,rho,contact,casualty,pressure
2.62,0.12,0.3039,0.0013,0.00000,0.18127
2.88,0.12,0.5548,0.0031,0.00000,0.32667
3.12,0.12,0.7101,0.0078,0.00000,0.41974
3.38,0.12,0.7156,0.0183,0.00000,0.42407
3.62,0.12,0.8062,0.0268,0.00000,0.43821
3.88,0.12,0.9560,0.0225,0.00000,0.46730
4.12,0.12,0.9957,0.0141,0.00000,0.44970
4.38,0.12,1.0310,0.0138,0.00000,0.42472
4.62,0.12,1.1304,0.0210,0.00000,0.43593
4.88,0.12,1.1953,0.0258,0.00000,0.43025
5.12,0.12,1.2129,0.0261,0.00000,0.40546
5.38,0.12,1.2439,0.0243,0.00000,0.39636
5.62,0.12,1.2736,0.0157,0.00000,0.37798
5.88,0.12,1.2433,0.0080,0.00000,0.34298
6.12,0.12,1.2694,0.0082,0.00000,0.34218
6.38,0.12,1.3196,0.0218,0.00000,0.36768
6.62,0.12,1.2829,0.1043,0.00000,0.37364
6.88,0.12,1.2959,0.8863,0.00000,0.40058
7.12,0.12,1.0914,4.0450,0.00000,0.37824
7.38,0.12,0.6473,8.9167,0.00000,0.25325
2.62,0.38,0.6065,0.0049,0.00000,0.34730
2.88,0.38,1.1465,0.0109,0.00000,0.65367
3.12,0.38,1.4830,0.0260,0.00000,0.85704
3.38,0.38,1.3914,0.0523,0.00000,0.82048
3.62,0.38,1.4057,0.0697,0.00000,0.78065
3.88,0.38,1.5883,0.0640,0.00000,0.80330
4.12,0.38,1.5859,0.0487,0.00000,0.75828
4.38,0.38,1.5352,0.0406,0.00000,0.69053
4.62,0.38,1.6012,0.0438,0.00000,0.67773
4.88,0.38,1.6532,0.0479,0.00000,0.64863
5.12,0.38,1.6374,0.0475,0.00000,0.58802
5.38,0.38,1.6463,0.0437,0.00000,0.54731
5.62,0.38,1.6744,0.0303,0.00000,0.51286
5.88,0.38,1.6351,0.0215,0.00000,0.47043
6.12,0.38,1.6714,0.0244,0.00000,0.47214
6.38,0.38,1.7127,0.0432,0.00000,0.50118
6.62,0.38,1.6084,0.1829,0.00000,0.50153
6.88,0.38,1.7116,1.5630,0.00000,0.56335
7.12,0.38,1.6314,7.1339,0.00000,0.57827
7.38,0.38,1.0597,15.7239,0.00000,0.40685
2.62,0.62,0.7926,0.0083,0.00000,0.40050
2.88,0.62,1.5310,0.0195,0.00000,0.78875
3.12,0.62,1.9853,0.0478,0.00000,1.05862
3.38,0.62,1.7783,0.0906,0.00000,0.97879
3.62,0.62,1.6859,0.1150,0.00000,0.88422
3.88,0.62,1.8627,0.1138,0.00000,0.90397
4.12,0.62,1.8521,0.0996,0.00000,0.86353
4.38,0.62,1.7757,0.0796,0.00000,0.78180
