x,y,rho,contact,casualty,pressure
2.62,0.12,0.2996,0.0021,0.00000,0.17988
2.88,0.12,0.5944,0.0035,0.00000,0.33266
3.12,0.12,0.8458,0.0057,0.00000,0.44039
3.38,0.12,0.9168,0.0103,0.00000,0.45264
3.62,0.12,1.0154,0.0142,0.00000,0.46557
3.88,0.12,1.1787,0.0161,0.00000,0.48846
4.12,0.12,1.2314,0.0170,0.00000,0.46587
4.38,0.12,1.2321,0.0114,0.00000,0.42928
4.62,0.12,1.2898,0.0053,0.00000,0.41239
4.88,0.12,1.3463,0.0024,0.00000,0.39367
5.12,0.12,1.3293,0.0011,0.00000,0.35734
5.38,0.12,1.2949,0.0006,0.00000,0.31875
5.62,0.12,1.3091,0.0006,0.00000,0.30561
5.88,0.12,1.3223,0.0015,0.00000,0.31185
6.12,0.12,1.3326,0.0056,0.00000,0.32786
6.38,0.12,1.3438,0.0227,0.00000,0.34713
6.62,0.12,1.3057,0.1847,0.00000,0.35901
6.88,0.12,1.3285,1.9224,0.00000,0.37551
7.12,0.12,1.1440,8.9781,0.00000,0.34849
7.38,0.12,0.6930,19.8651,0.00000,0.22957
2.62,0.38,0.5836,0.0029,0.00000,0.33061
2.88,0.38,1.1435,0.0056,0.00000,0.61060
3.12,0.38,1.5500,0.0113,0.00000,0.78821
3.38,0.38,1.5025,0.0220,0.00000,0.74836
3.62,0.38,1.4845,0.0277,0.00000,0.69339
3.88,0.38,1.6405,0.0231,0.00000,0.68222
4.12,0.38,1.6473,0.0173,0.00000,0.61906
4.38,0.38,1.5899,0.0117,0.00000,0.54340
4.62,0.38,1.6450,0.0073,0.00000,0.51234
4.88,0.38,1.7039,0.0051,0.00000,0.48280
5.12,0.38,1.6751,0.0038,0.00000,0.42955
5.38,0.38,1.6466,0.0022,0.00000,0.38202
5.62,0.38,1.6770,0.0024,0.00000,0.36276
5.88,0.38,1.6832,0.0044,0.00000,0.36150
6.12,0.38,1.6977,0.0108,0.00000,0.38372
6.38,0.38,1.7032,0.0380,0.00000,0.41056
6.62,0.38,1.5929,0.2337,0.00000,0.40952
6.88,0.38,1.7162,2.2624,0.00000,0.44651
7.12,0.38,1.6783,10.5271,0.00000,0.45686
7.38,0.38,1.1065,23.2942,0.00000,0.31818
2.62,0.62,0.7602,0.0019,0.00000,0.36746
2.88,0.62,1.4747,0.0047,0.00000,0.68601
3.12,0.62,1.9301,0.0126,0.00000,0.87893
3.38,0.62,1.7480,0.0262,0.00000,0.79293
3.62,0.62,1.6456,0.0330,0.00000,0.68923
3.88,0.62,1.7980,0.0267,0.00000,0.66517
4.12,0.62,1.7920,0.0179,0.00000,0.60142
4.38,0.62,1.7298,0.0112,0.00000,0.51905
4.62,0.62,1.7810,0.0072,0.00000,0.48182
4.88,0.62,1.8205,0.0062,0.00000,0.45270
5.12,0.62,1.7997,0.0058,0.00000,0.40474
5.38,0.62,1.7912,0.0036,0.00000,0.36048
5.62,0.62,1.8322,0.0039,0.00000,0.34037
5.88,0.62,1.8296,0.0067,0.00000,0.33136
