angle,col_label,mode,n_window,transit_mean,transit_median,transit_p90,transit_p95,transit_max,n_exits_total
0,ctrl,physical,3688,211.57,202.99,293.01,308.7,365.89,8389
0,gate,physical,4319,221.14,219.76,276.45,292.88,361.8,8796
0,pillar_axis,physical,3965,217.32,207.73,292.77,307.94,365.67,8190
0,pillar_off_far,physical,4250,196.67,196.88,279.44,295.92,378.36,9437
45,ctrl,physical,4127,204.06,199.19,266.41,282.63,371.06,9544
45,gate,physical,4574,212.82,212.75,266.78,281.17,351.97,9602
45,pillar_axis,physical,3767,223.99,220.02,291.81,304.88,340.75,8276
45,pillar_off_far,physical,3686,221.31,216.28,291.86,307.09,358.79,8298
60,ctrl,physical,3475,220.09,213.93,292.33,308.24,365.93,7974
60,gate,physical,4179,216.81,215.92,276.4,289.9,356.8,9405
60,pillar_axis,physical,3447,228.27,227.57,297.94,307.98,348.03,8063
60,pillar_off_far,physical,4599,184.43,174.41,263.93,288.49,375.69,10426
90,ctrl,physical,3105,217.55,213.08,295.75,310.98,375.17,7673
90,gate,physical,4190,209.02,206.03,277.39,291.28,348.16,9058
90,pillar_axis,physical,3169,219.91,215.98,289.06,302.99,360.32,7714
90,pillar_off_far,physical,3681,195.92,193.05,279.45,295.96,379.36,8989
120,ctrl,physical,3182,206.08,201.74,278.23,293.6,373.39,7865
120,gate,physical,4091,179.09,173.86,251.11,269.54,356.38,10069
120,pillar_axis,physical,3274,201.17,200.29,277.36,292.13,360.85,8506
120,pillar_off_far,physical,3655,203.33,201.3,279.78,296.95,375.8,8464
135,ctrl,physical,3233,199.41,196.89,269.65,291.53,379.31,7603
135,gate,physical,4097,182.53,178.05,244.11,273.74,368.8,9440
135,pillar_axis,physical,3230,195.47,193.72,261.24,282.45,352.3,8359
135,pillar_off_far,physical,3614,169.49,167.69,246.46,269.21,356.96,9781
