angle,col_label,lam,n_seeds,col_switch,col_x,col_y,col_d,col2_x,col2_y,col2_d,inflow_rate_mean,inflow_rate_ci95,door_outflow_mean,door_outflow_ci95,door_rho_steady_mean,door_rho_steady_ci95,door_rho_peak_mean,door_rho_peak_ci95,corner_rho_mean,corner_rho_ci95,door_contact_p95_mean,door_contact_p95_ci95,door_contact_max_mean,door_contact_max_ci95,crush_frac_mean,crush_frac_ci95,casualties_mean,casualties_ci95,mean_n_mean,mean_n_ci95
0,ctrl,12.0,12,0,,,,,,,3.173,0.2971,1.7716,0.3046,7.0054,0.4667,9.0284,0.499,,0.0,289.625,30.839,513.2,18.2925,0.0454,0.005,32.23,3.9085,557.3,5.1305
0,gate,12.0,12,2,6.0,28.2,0.9,4.0,28.2,0.9,3.4267,0.1525,2.0465,0.1543,5.8675,0.1019,8.2643,0.2483,,0.0,295.8417,66.3641,467.1333,30.7982,0.0625,0.0096,27.7175,2.5699,546.0167,1.7313
0,gate_close,12.0,12,2,6.0,28.8,0.8,4.0,28.8,0.8,3.6947,0.2533,2.3312,0.265,6.115,0.2987,8.0943,0.2515,,0.0,319.65,57.7792,451.3083,46.0259,0.0581,0.0113,29.0158,2.6885,541.025,5.6228
0,gate_wide,12.0,12,2,6.25,28.2,0.9,3.75,28.2,0.9,3.3769,0.1808,2.0076,0.1842,5.9692,0.1643,8.3689,0.1921,,0.0,319.2583,56.8039,494.4667,26.5163,0.0617,0.0076,28.3617,3.5573,542.9833,4.0428
0,pillar_axis,12.0,12,1,5.0,28.5,0.9,,,,3.0894,0.2404,1.682,0.242,6.2248,0.3193,8.3042,0.2826,,0.0,328.8917,46.2388,498.2667,28.3242,0.0545,0.007,31.4592,5.1738,555.5833,2.8298
0,pillar_big,12.0,12,1,5.8,28.0,1.1,,,,3.3077,0.243,1.9283,0.2459,6.3745,0.3378,8.673,0.2822,,0.0,313.0833,42.3948,508.375,24.9868,0.0513,0.0061,24.7675,3.7811,547.1667,4.1657
0,pillar_off,12.0,12,1,5.8,28.5,0.9,,,,3.2172,0.1854,1.8217,0.1892,6.8411,0.427,8.7383,0.0679,,0.0,314.575,43.9383,493.3417,17.9146,0.0511,0.0071,29.4967,4.2052,551.8833,4.0345
0,pillar_off_far,12.0,12,1,5.8,27.8,0.9,,,,3.3812,0.2465,1.9805,0.2494,6.1701,0.1638,8.5965,0.1293,,0.0,297.4333,43.0257,505.0,30.5475,0.0452,0.007,24.6042,3.1334,549.675,3.3255
45,ctrl,12.0,12,0,,,,,,,3.4143,0.1986,2.042,0.2068,7.2975,0.3559,8.4166,0.2981,4.5992,0.1418,198.7833,12.9525,338.5,11.2289,0.0,0.0,22.0683,2.929,545.45,4.5531
45,gate,12.0,12,2,12.92,24.505,0.9,11.505,25.92,0.9,3.3672,0.1732,2.025,0.1782,3.8239,0.0932,6.5332,0.2429,4.7557,0.214,88.1917,12.477,213.6417,21.1698,0.0,0.0,16.9875,2.7502,531.9333,3.9668
45,gate_close,12.0,12,2,13.344,24.93,0.8,11.93,26.344,0.8,3.4871,0.1821,2.1518,0.1883,5.4854,0.5056,6.9877,0.2917,4.552,0.0841,151.0,22.3285,330.0167,23.4485,0.0,0.0,15.3433,1.5294,531.6,3.616
45,gate_wide,12.0,12,2,13.096,24.329,0.9,11.329,26.096,0.9,3.4972,0.1811,2.1592,0.1813,4.5511,0.4448,6.8637,0.3746,4.6117,0.1078,131.3583,19.6775,283.6167,26.2585,0.0,0.0,12.1142,2.1223,531.5,4.0388
45,pillar_axis,12.0,12,1,12.425,25.425,0.9,,,,3.0386,0.1689,1.6764,0.1715,5.7927,0.5456,7.155,0.3848,4.8426,0.2012,156.7417,21.3778,298.8083,17.2519,0.0,0.0,18.7483,2.4604,542.5,2.5005
45,pillar_big,12.0,12,1,12.637,24.505,1.1,,,,3.1127,0.184,1.7563,0.183,5.7628,0.5612,7.4536,0.4658,4.5946,0.1332,166.575,14.9866,299.9167,23.7031,0.0,0.0,16.3283,3.3184,536.8917,3.0411
45,pillar_off,12.0,12,1,12.99,24.859,0.9,,,,3.2717,0.2149,1.9019,0.2168,6.1528,0.5412,7.6188,0.4467,4.6837,0.1404,190.625,12.3759,341.5417,18.4663,0.0,0.0,18.0733,1.8418,542.0583,3.0001
45,pillar_off_far,12.0,12,1,12.495,24.364,0.9,,,,3.1423,0.2238,1.7748,0.2309,6.4493,0.6057,7.8442,0.4885,4.7363,0.1513,181.2667,17.9576,315.725,17.1,0.0,0.0,18.0308,3.2775,541.15,4.4501
60,ctrl,12.0,12,0,,,,,,,3.118,0.2642,1.7388,0.2671,7.3672,0.2715,9.1308,0.3336,4.8351,0.0852,241.45,15.0995,480.075,34.0656,0.0216,0.0064,17.8033,1.9375,544.0417,3.3887
60,gate,12.0,12,2,14.333,22.234,0.9,13.333,23.966,0.9,3.5376,0.2104,2.2103,0.212,6.1187,0.5061,8.8293,0.1598,4.7575,0.0535,136.2083,23.875,455.6,24.274,0.0322,0.0048,10.8717,1.6215,525.5167,4.8293
60,gate_close,12.0,12,2,14.853,22.534,0.8,13.853,24.266,0.8,3.4983,0.1708,2.1638,0.1743,6.3014,0.5363,8.833,0.1759,4.737,0.0759,206.925,24.0731,451.9083,37.6668,0.0274,0.0066,10.7525,1.7555,528.2333,2.371
60,gate_wide,12.0,12,2,14.458,22.017,0.9,13.208,24.183,0.9,3.43,0.1426,2.1018,0.1447,6.7143,0.1219,8.9377,0.0693,4.7097,0.0629,189.175,41.3895,464.7417,53.6392,0.0334,0.0078,7.2308,1.8599,526.625,2.783
60,pillar_axis,12.0,12,1,14.093,23.25,0.9,,,,3.1841,0.194,1.8282,0.1934,6.4213,0.3534,9.0631,0.1268,4.7558,0.0812,219.725,37.5349,500.4333,29.6693,0.0312,0.0052,13.1825,1.8391,536.8333,2.3627
60,pillar_big,12.0,12,1,14.06,22.307,1.1,,,,3.2393,0.3074,1.9001,0.3204,6.6418,0.1387,8.9737,0.1719,4.7089,0.1092,235.5417,41.7464,490.875,56.5085,0.0311,0.0104,10.18,2.3355,533.1667,5.8457
60,pillar_off,12.0,12,1,14.493,22.557,0.9,,,,3.4918,0.3147,2.1465,0.3191,6.6488,0.3508,8.8183,0.3767,4.6639,0.0975,210.6417,10.7941,475.1917,28.6708,0.0271,0.0049,10.0767,3.431,531.025,5.605
60,pillar_off_far,12.0,12,1,13.887,22.207,0.9,,,,3.3392,0.2737,1.9868,0.2783,6.6688,0.1828,9.0453,0.0874,4.7055,0.0699,215.55,13.8702,509.5083,28.69,0.0268,0.0013,9.7358,1.9212,534.7583,3.6422
90,ctrl,12.0,12,0,,,,,,,3.1975,0.2906,1.8681,0.3008,7.1211,0.43,8.8826,0.4152,4.5116,0.0968,301.4583,25.1853,548.6917,38.1174,0.0406,0.0065,9.8775,1.4723,528.3167,4.5113
90,gate,12.0,12,2,15.2,17.0,0.9,15.2,19.0,0.9,3.5623,0.1888,2.2778,0.1915,6.0431,0.1886,8.5428,0.1318,4.5502,0.1057,373.1667,17.4171,506.4083,21.2224,0.066,0.0014,3.0442,0.7557,511.3917,2.8527
90,gate_close,12.0,12,2,15.8,17.0,0.8,15.8,19.0,0.8,3.7041,0.1405,2.41,0.1435,6.107,0.3911,8.4269,0.2668,4.5043,0.0664,346.8,27.777,515.1917,33.2361,0.0555,0.008,4.7883,1.1234,514.9667,3.1193
90,gate_wide,12.0,12,2,15.2,16.75,0.9,15.2,19.25,0.9,3.4053,0.1511,2.1152,0.1548,6.1334,0.1223,8.5721,0.1878,4.4586,0.0828,343.8,48.822,502.475,39.2218,0.0572,0.0115,3.02,0.74,512.4917,1.9474
